episode_id,turn_idx,implicature_load,duration_sec,new_assumption_count,gap_to_next_sec,next_response_type
85597,2,281.43179999999995,2814.3179999999998,10.0,,Silence/Abandonment
95299,4,248.5247,2485.247,10.0,2.762000000000171,Silence/Abandonment
48003,1,241.7506,2417.506,10.0,9.987999999999829,Silence/Abandonment
74365,0,227.88690000000003,2278.869,10.0,1.0509999999999309,Substantive
46748,2,226.01579999999998,2260.158,10.0,,Silence/Abandonment
74355,0,224.17169999999996,2241.7169999999996,10.0,2.0210000000001855,Substantive
74351,0,217.36549999999997,2173.6549999999997,10.0,0.9600000000000364,Backchannel
87315,0,211.4278,2114.278,10.0,1.1410000000000764,Substantive
74354,0,209.0884,2090.884,10.0,0.7600000000002183,Clarification
74373,0,208.2198,2082.198,10.0,1.400000000000091,Substantive
74375,0,198.6282,1986.282,10.0,0.7000000000000455,Silence/Abandonment
74383,0,195.5312,1955.3120000000001,10.0,1.0209999999999582,Substantive
74394,0,194.81199999999998,1948.12,10.0,1.441000000000031,Substantive
78348,1,186.1538,1861.538,10.0,,Silence/Abandonment
72058,1,172.6209,1726.209,10.0,2.69399999999996,Substantive
87177,0,143.50549999999998,1435.0549999999998,10.0,1.5170000000000528,Substantive
75371,16,138.3617,1383.6170000000002,10.0,,Silence/Abandonment
49011,3,136.466,545.864,4.0,0.4600000000000364,Clarification
75328,24,134.0517,1340.517,10.0,,Silence/Abandonment
75315,0,132.48020000000002,1324.8020000000001,10.0,1.04099999999994,Substantive
66021,1,128.1544,1281.544,10.0,1.2799999999999727,Substantive
87339,0,125.76970000000001,1257.6970000000001,10.0,0.9610000000000127,Substantive
47179,0,124.15959999999998,620.7979999999999,5.0,1.1210000000000946,Substantive
91056,3,122.25699999999999,1222.57,10.0,2.6840000000001965,Substantive
75342,18,120.28779999999999,1202.878,10.0,,Silence/Abandonment
91056,1,118.0577,1180.577,10.0,1.2409999999999854,Substantive
74378,2,114.30639999999998,1143.0639999999999,10.0,0.5399999999999636,Backchannel
65214,8,110.60979999999999,1106.098,10.0,1.4210000000000491,Backchannel
95633,8,110.6088,1106.088,10.0,1.4210000000000491,Backchannel
75317,16,109.8501,1098.501,10.0,,Silence/Abandonment
80082,3,108.1659,1081.6589999999999,10.0,2.3220000000001164,Substantive
87325,38,107.8572,1078.5720000000001,10.0,,Silence/Abandonment
74552,0,103.5374,1035.374,10.0,1.058999999999969,Substantive
77016,0,102.90360000000001,1029.036,10.0,72.79199999999992,Silence/Abandonment
51470,0,101.7425,1017.4250000000001,10.0,0.5359999999998308,Substantive
75336,20,101.1936,1011.936,10.0,,Silence/Abandonment
82735,1,100.59870000000001,1005.9870000000001,10.0,0.75,Clarification
75236,18,95.84799999999998,958.4799999999999,10.0,,Silence/Abandonment
84672,2,95.82430000000001,958.243,10.0,2.54099999999994,Substantive
47196,0,93.4046,934.046,10.0,1.738999999999919,Substantive
45082,3,92.98766666666667,278.963,3.0,1.7679999999999723,Clarification
77450,0,91.3442,913.442,10.0,1.8410000000000082,Substantive
83968,0,90.85060000000001,908.5060000000001,10.0,0.39999999999997726,Silence/Abandonment
75341,0,88.3101,883.101,10.0,0.01999999999998181,Substantive
51871,1,87.9471,879.471,10.0,0.7799999999999727,Substantive
47218,0,87.07910000000001,870.791,10.0,1.3009999999999309,Substantive
49237,1,82.99324999999999,331.97299999999996,4.0,7.1410000000000196,Silence/Abandonment
84680,0,81.24459999999999,812.4459999999999,10.0,3.508000000000038,Substantive
47184,0,81.21209999999999,812.121,10.0,1.1609999999999445,Substantive
51847,1,80.6561,806.5609999999999,10.0,1.7220000000000937,Substantive
84673,6,77.7687,777.687,10.0,,Silence/Abandonment
74378,0,75.9214,759.214,10.0,2.33299999999997,Substantive
77933,56,75.55119999999997,755.5119999999997,10.0,,Silence/Abandonment
47189,0,74.92979999999999,749.2979999999999,10.0,0.1610000000000582,Silence/Abandonment
85779,16,73.66925000000003,294.67700000000013,4.0,0.6209999999998672,Substantive
51842,1,73.45660000000001,734.566,10.0,2.949999999999932,Substantive
84701,5,72.1616,721.6160000000001,10.0,,Silence/Abandonment
66020,1,71.3642,713.6419999999999,10.0,8.918000000000006,Silence/Abandonment
