episode_id,source_turn,target_turn,count,mean_lag_seconds
42060,1,2,1,5.283999999999999
42060,2,3,2,36.56400000000001
42060,3,7,1,251.83800000000002
42060,3,5,1,172.57999999999998
42060,4,11,1,308.69699999999995
42060,5,6,1,47.87600000000003
42060,7,9,3,128.154
42060,8,11,2,118.27999999999997
42060,9,11,5,83.17099999999994
42061,2,3,2,28.427999999999997
42061,4,13,1,310.76
42061,10,11,2,35.327999999999975
42061,10,13,1,80.16199999999998
42061,14,18,1,24.146000000000015
42061,16,18,1,8.242000000000019
42073,0,19,1,1282.156
42073,0,16,1,1086.087
42073,3,17,1,977.001
42073,3,19,1,1157.079
42073,4,19,1,1017.9639999999999
42073,4,5,1,13.95999999999998
42073,4,7,1,133.688
42073,5,7,4,119.72800000000001
42073,5,11,1,390.93700000000007
42073,6,14,1,417.915
42073,6,7,1,12.430000000000007
42073,6,19,1,896.7059999999999
42073,7,13,1,343.101
42073,7,8,2,91.72300000000001
42073,7,19,1,884.276
42073,8,18,1,784.886
42073,8,17,1,612.4749999999999
42073,9,11,1,166.81500000000005
42073,10,19,1,618.7299999999999
42073,10,11,1,5.663000000000011
42073,11,17,1,432.9889999999999
42073,11,13,1,71.89199999999994
42073,12,14,1,72.64700000000005
42073,12,13,2,10.263000000000034
42073,13,15,1,72.15099999999995
42073,15,17,1,288.946
42073,16,17,3,15.990999999999985
42073,17,19,2,180.07799999999997
42073,17,21,1,426.61400000000003
42073,18,21,1,254.20299999999997
42073,19,21,1,246.53600000000006
42077,0,7,1,240.351
42077,0,8,1,462.60999999999996
42077,2,5,3,35.82299999999999
42077,2,6,1,110.46
42077,5,7,3,91.33800000000001
42077,7,23,2,1139.98
42077,8,22,1,890.8860000000001
42077,11,23,2,894.258
42077,12,18,1,217.81500000000005
42077,13,18,1,210.832
42077,15,22,1,612.4200000000001
42077,15,17,1,149.21500000000003
42077,15,18,1,201.10900000000004
42077,16,17,1,11.172000000000025
42077,16,18,1,63.06600000000003
42077,17,18,1,51.894000000000005
42077,18,19,2,63.68399999999997
42088,1,11,1,204.69
42088,1,21,1,979.306
42088,1,7,1,77.472
42088,1,26,1,1213.9199999999998
42088,2,27,1,1232.716
42088,2,20,1,937.821
42088,2,7,1,62.462999999999994
42088,3,7,1,45.019999999999996
42088,3,31,1,1510.389
42088,4,27,1,1201.43
42088,5,21,1,923.827
42088,6,7,1,18.450999999999993
42088,6,19,1,693.414
42088,7,21,1,901.8340000000001
42088,7,8,1,44.623999999999995
42088,7,9,1,82.255
42088,8,9,1,37.631
42088,8,21,1,857.21
42088,9,11,1,44.962999999999994
42088,10,13,1,128.928
42088,11,13,7,122.92200000000001
42088,11,32,1,1407.779
42088,11,12,1,110.85400000000001
42088,12,21,1,663.762
42088,12,13,2,12.067999999999984
42088,12,19,1,436.891
42088,13,14,2,50.004999999999995
42088,13,21,1,651.694
42088,13,25,1,834.684
42088,13,32,1,1284.857
42088,13,19,1,424.82300000000004
42088,14,21,1,601.6890000000001
42088,14,32,1,1234.8519999999999
42088,17,29,1,876.123
42088,18,22,1,381.0380000000001
42088,19,22,1,333.1310000000001
42088,19,21,1,226.87099999999998
42088,20,24,1,194.77600000000007
42088,21,25,4,182.9899999999999
42088,21,32,1,633.1629999999999
42088,24,25,2,14.689999999999827
42088,25,27,1,85.42900000000009
42088,27,29,1,202.99500000000012
42088,27,31,1,295.116
42088,28,29,2,28.07400000000007
42088,29,31,1,92.12099999999987
42088,31,39,1,238.1790000000001
42088,32,39,2,168.55100000000016
42088,32,33,1,52.28600000000006
42088,33,35,2,45.83400000000006
42088,35,39,1,70.43100000000004
42088,36,37,2,8.464999999999918
42105,0,7,1,242.958
42105,0,13,1,403.285
42105,0,28,1,1040.055
42105,0,24,1,879.616
42105,0,25,1,884.8589999999999
42105,0,6,1,239.256
42105,1,9,1,201.17399999999998
42105,1,7,2,130.305
42105,2,6,1,94.726
42105,2,29,1,914.927
42105,2,7,1,98.428
42105,2,3,1,8.787000000000006
42105,3,30,1,947.5140000000001
42105,4,6,2,48.709
42105,4,24,1,689.0690000000001
42105,4,7,1,52.411
42105,5,7,2,41.388000000000005
42105,6,8,1,45.99600000000001
42105,6,24,1,640.36
42105,7,9,1,70.869
42105,7,8,1,42.29400000000001
42105,8,12,1,106.24799999999999
42105,8,13,1,118.03300000000002
42105,9,14,3,158.24099999999999
42105,9,11,2,56.735000000000014
42105,9,12,1,77.673
42105,9,13,1,89.45800000000003
42105,10,12,2,23.079999999999984
42105,11,13,1,32.72300000000001
42105,12,39,2,863.239
42105,12,14,1,80.56799999999998
42105,15,29,1,578.8430000000001
42105,15,17,1,43.134000000000015
42105,16,23,1,296.2130000000001
42105,16,24,1,372.8810000000001
42105,16,17,1,17.013000000000034
42105,16,29,1,552.7220000000001
42105,17,23,3,279.20000000000005
42105,17,27,4,481.51700000000005
42105,17,21,1,225.58400000000006
42105,19,25,2,225.851
42105,19,21,1,90.32400000000007
42105,19,29,1,400.44900000000007
42105,19,20,1,79.82100000000003
42105,20,24,1,140.78700000000003
42105,21,23,1,53.615999999999985
42105,23,27,1,202.317
42105,24,51,1,638.323
42105,27,28,1,34.789999999999964
42105,27,29,1,54.19200000000001
42105,28,30,1,60.77600000000007
42105,32,46,1,313.327
42105,32,35,1,20.615999999999985
42105,33,37,1,34.246999999999844
42105,35,37,1,22.855000000000018
42105,36,37,1,6.68100000000004
42105,37,38,1,56.36000000000013
42105,37,51,1,346.9290000000001
42105,38,40,1,105.654
42105,38,39,3,27.368999999999915
42105,40,43,2,49.01999999999998
42105,41,43,2,38.111000000000104
42105,43,44,1,48.79299999999989
42105,44,46,3,10.028999999999996
42105,46,47,4,3.4830000000001746
42105,50,52,1,56.19399999999996
42105,51,52,2,37.485999999999876
42106,0,3,2,175.402
42106,0,2,2,142.015
42106,1,9,1,480.413
42106,1,8,1,454.52200000000005
42106,1,3,2,75.674
42106,1,6,1,358.88200000000006
42106,2,3,3,33.387
42106,2,8,1,412.235
42106,3,5,3,180.21899999999997
42106,4,8,1,235.76300000000003
42106,4,5,1,37.134000000000015
42106,5,7,4,116.38
42106,5,14,1,877.8380000000001
42106,5,8,1,198.62900000000002
42106,6,7,1,13.390999999999963
42106,7,15,1,777.5219999999999
42106,7,12,1,506.65
42106,7,9,1,108.13999999999999
42106,9,11,1,215.67100000000005
42106,10,12,1,212.31799999999998
42106,12,15,1,270.87199999999996
42106,14,15,1,16.06399999999985
42131,0,11,1,1223.9699999999998
42131,0,22,2,1895.464
42131,0,2,1,61.727999999999994
42131,1,15,1,1543.306
42131,2,3,3,8.917000000000002
42131,2,15,1,1541.505
42131,3,18,1,1778.8829999999998
42131,3,11,2,1153.3249999999998
42131,4,5,1,33.43000000000001
42131,5,11,1,937.2149999999999
42131,5,19,1,1570.063
42131,11,17,1,477.2660000000001
42131,11,12,2,149.92100000000005
42131,12,13,3,34.221000000000004
42131,12,14,1,198.75600000000009
42131,13,16,1,271.43499999999995
42131,13,14,3,164.53500000000008
42131,14,16,1,106.89999999999986
42131,14,17,1,128.58899999999994
42131,14,15,1,30.586000000000013
42131,15,17,2,98.00299999999993
42131,16,17,1,21.689000000000078
42131,18,20,1,41.871000000000095
42131,18,22,2,45.93600000000015
42131,20,22,3,4.065000000000055
42132,0,1,2,16.328999999999997
42132,0,16,1,878.249
42132,1,9,1,450.694
42132,2,3,2,12.808000000000003
42132,3,5,1,133.249
42132,3,4,1,89.413
42132,5,9,1,298.134
42132,6,11,1,351.50999999999993
42132,7,11,1,323.71899999999994
42132,8,17,2,529.483
42132,9,17,1,477.313
42132,9,20,1,879.937
42132,10,11,1,18.1099999999999
42132,10,20,1,733.847
42132,14,17,1,103.625
42132,16,17,1,66.08699999999999
42133,0,3,1,62.156
42133,0,13,1,675.799
42133,3,17,1,814.543
42133,4,5,1,17.098000000000013
42133,4,17,1,701.838
42133,5,17,1,684.74
42133,5,14,1,595.658
42133,5,13,1,483.84000000000003
42133,8,13,3,199.44500000000002
42133,8,18,1,486.18
42133,8,11,1,186.85399999999998
42133,9,18,1,455.70300000000003
42133,9,13,1,168.96800000000002
42133,9,10,1,136.97200000000004
42133,10,11,1,19.404999999999973
42133,13,15,4,115.84100000000001
42133,14,15,1,4.023000000000025
42133,15,17,1,85.05899999999997
42133,16,17,1,19.994000000000028
42133,17,18,1,85.83500000000004
42142,0,6,1,369.36600000000004
42142,1,7,1,397.59000000000003
42142,2,6,1,306.35400000000004
42142,6,9,1,245.805
42142,6,11,1,329.10999999999996
42142,6,10,1,317.19599999999997
42142,7,11,2,281.96099999999996
42142,8,10,1,94.274
42142,9,10,1,71.39099999999996
42149,1,16,2,755.966
42149,1,2,1,5.300999999999998
42149,2,3,2,10.123000000000001
42149,4,5,1,46.831
42149,4,7,2,209.849
42149,5,7,1,163.01799999999997
42149,6,7,2,45.156000000000006
42149,6,8,1,136.75900000000001
42149,7,9,1,133.60200000000003
42149,8,10,1,192.27200000000005
42149,9,10,2,150.27300000000002
42149,10,11,4,19.894999999999982
42153,0,3,1,107.315
42153,0,1,3,44.451
42153,1,14,1,392.267
42153,1,18,1,544.789
42153,2,3,1,15.725999999999999
42153,4,5,2,24.409999999999997
42153,8,10,1,22.762999999999977
42153,11,12,1,76.73600000000005
42153,12,13,1,15.669999999999959
42153,14,15,5,35.615999999999985
42153,15,17,1,85.45200000000006
42197,0,16,2,356.832
42197,0,1,2,26.798
42197,0,15,1,318.376
42197,1,30,1,924.796
42197,1,16,1,330.034
42197,1,15,1,291.578
42197,1,14,1,227.32
42197,1,11,1,160.115
42197,3,4,1,6.7549999999999955
42197,3,7,1,33.16199999999999
42197,4,32,1,993.749
42197,4,5,1,14.043000000000006
42197,4,7,1,26.406999999999996
42197,5,32,1,979.706
42197,8,14,1,122.53399999999999
42197,10,25,1,571.6679999999999
42197,11,13,2,46.067999999999984
42197,11,17,1,323.622
42197,13,19,1,390.091
42197,14,26,1,543.385
42197,14,16,2,102.714
42197,14,15,1,64.25799999999998
42197,15,16,2,38.45600000000002
42197,16,30,1,594.7620000000001
42197,16,17,2,153.70300000000003
42197,16,18,1,189.87099999999998
42197,17,19,1,112.53699999999998
42197,17,26,1,286.968
42197,18,20,4,95.89600000000007
42197,18,25,1,207.89499999999998
42197,19,26,1,174.43100000000004
42197,19,20,2,19.527000000000044
42197,19,25,2,131.52599999999995
42197,20,25,1,111.99899999999991
42197,20,30,2,308.995
42197,20,26,1,154.904
42197,22,24,3,42.40499999999997
42197,23,32,1,329.428
42197,23,26,1,55.15600000000006
42197,23,25,1,12.250999999999976
42197,24,30,1,201.7600000000001
42197,24,26,1,47.669000000000096
42197,25,26,4,42.905000000000086
42197,25,32,1,317.177
42197,26,30,1,154.091
42197,26,32,1,274.27199999999993
42197,27,32,2,174.644
42197,29,33,1,232.87699999999995
42197,29,30,1,17.818000000000097
42197,30,32,3,120.18099999999993
42227,0,2,2,93.532
42227,2,10,1,302.996
42227,2,3,2,9.90700000000001
42227,2,4,1,42.303
42227,2,6,1,184.834
42227,3,5,1,40.78199999999998
42227,3,4,1,32.39599999999999
42227,4,5,1,8.385999999999996
42227,5,20,1,1184.078
42227,7,12,1,274.98299999999995
42227,8,20,1,1015.5999999999999
42227,9,11,1,83.67500000000001
42227,10,14,1,319.908
42227,12,13,4,36.922000000000025
42227,13,42,1,1110.842
42227,18,42,2,565.142
42227,20,41,1,368.28
42227,20,42,2,376.77200000000016
42227,20,49,1,491.3910000000001
42227,24,25,2,3.4409999999998035
42227,24,26,1,4.541999999999916
42227,24,36,1,54.534999999999854
42227,26,28,2,13.252999999999929
42227,26,32,1,41.950000000000045
42227,27,28,1,6.546000000000049
42227,28,30,1,16.894000000000005
42227,40,42,1,14.97700000000009
42227,44,46,1,3.060999999999922
42327,3,14,1,331.46799999999996
42327,3,8,1,150.00900000000001
42327,3,19,1,559.441
42327,3,6,1,57.58000000000001
42327,5,12,1,217.381
42327,5,8,1,97.911
42327,5,13,1,249.718
42327,6,15,1,351.45799999999997
42327,6,14,1,273.888
42327,6,11,1,172.13400000000001
42327,6,12,1,211.899
42327,7,15,1,305.59799999999996
42327,7,26,1,628.408
42327,7,16,1,380.303
42327,7,14,1,228.028
42327,8,14,2,181.45899999999997
42327,8,21,1,450.447
42327,9,16,1,272.84700000000004
42327,9,17,1,337.99899999999997
42327,9,14,1,120.572
42327,9,13,1,90.92000000000002
42327,11,14,1,101.75399999999996
42327,11,15,1,179.32399999999996
42327,11,13,1,72.10199999999998
42327,11,22,1,433.89599999999996
42327,11,16,1,254.029
42327,12,14,1,61.988999999999976
42327,12,21,1,330.977
42327,12,16,1,214.264
42327,13,15,1,107.22199999999998
42327,13,26,1,430.03200000000004
42327,14,15,1,77.57
42327,14,21,1,268.988
42327,14,26,1,400.38000000000005
42327,14,16,1,152.27500000000003
42327,14,23,1,371.72999999999996
42327,15,26,1,322.81000000000006
42327,15,21,2,191.418
42327,15,22,1,254.572
