prompt,num_matches,mean_similarity,median_similarity,p90_similarity
prompt1,2350,0.4166568919572424,0.39782826602458954,0.5439402997493743
prompt2,2487,0.4208572816671403,0.4062980115413666,0.540774667263031
prompt3,2362,0.41202871027031157,0.39718642830848694,0.5268308579921722
prompt4,2004,0.4172378238327727,0.40442484617233276,0.5317955672740936
prompt5,1959,0.40933816526665134,0.39287522435188293,0.5219948291778564
