model_number,model_name,short_label,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
1,spec_01_stance_core,Core,Intercept,0.022463635921290793,0.0013305715687687994,16.882696465607467,6.0325342687884435e-64,0.019855763567650987,0.0250715082749306
1,spec_01_stance_core,Core,agree_move,0.3096457395412871,0.005052720815078966,61.282970279537956,0.0,0.2997425887197965,0.3195488903627777
1,spec_01_stance_core,Core,disagree_move,-0.39910740954133944,0.005003887635285713,-79.759466764795,0.0,-0.40891484908918474,-0.38929996999349414
2,spec_02_add_lagged_stance,+ Lagged stance,Intercept,0.0075758881343893185,0.0013364520257955388,5.668657002393844,1.4392115343919819e-08,0.004956490296764467,0.010195285972014169
2,spec_02_add_lagged_stance,+ Lagged stance,agree_move,0.19083921809364202,0.0052999160174521595,36.00797021409871,6.277083722735249e-284,0.18045157357834882,0.20122686260893521
2,spec_02_add_lagged_stance,+ Lagged stance,disagree_move,-0.3054401704746329,0.005118493039707441,-59.67384699073284,0.0,-0.31547223248757844,-0.29540810846168736
2,spec_02_add_lagged_stance,+ Lagged stance,lag_agree_move,-0.13013475936991636,0.0048406488430057775,-26.8837429837422,3.4025304116785817e-159,-0.13962225676401316,-0.12064726197581956
2,spec_02_add_lagged_stance,+ Lagged stance,lag_disagree_move,0.27119581108012136,0.005552150731743073,48.84518165719551,0.0,0.26031379560916723,0.2820778265510755
3,spec_03_add_previous_outcome,+ Previous outcome,Intercept,1.8813255677935947,0.007193721355256337,261.5232749345984,0.0,1.8672261330224755,1.895425002564714
3,spec_03_add_previous_outcome,+ Previous outcome,agree_move,0.22170438548379282,0.0033824375272117177,65.54574436340081,0.0,0.21507492975050113,0.2283338412170845
3,spec_03_add_previous_outcome,+ Previous outcome,disagree_move,-0.1903086572512368,0.003512576112408969,-54.17922663054288,0.0,-0.1971931799245141,-0.1834241345779595
3,spec_03_add_previous_outcome,+ Previous outcome,previous_log_assumption_count,-0.9735715835453158,0.003336222092979707,-291.81857694485257,0.0,-0.9801104586919829,-0.9670327083986487
4,spec_04_add_timeline,+ Timeline,Intercept,0.03074596984868167,0.002531335810529502,12.146144229773395,6.01353687772205e-34,0.02578464282726734,0.035707296870096
4,spec_04_add_timeline,+ Timeline,agree_move,0.3098976952350399,0.005054890528523063,61.30650970310642,0.0,0.2999902918533421,0.3198050986167377
4,spec_04_add_timeline,+ Timeline,disagree_move,-0.3976706759844645,0.005017961217243788,-79.24945187258598,0.0,-0.4075056992460811,-0.38783565272284787
4,spec_04_add_timeline,+ Timeline,timeline_position,0.002243308191939077,0.009966741719113062,0.2250793945665433,0.8219175104800461,-0.017291146620735345,0.021777763004613503
4,spec_04_add_timeline,+ Timeline,I(timeline_position ** 2),-0.025881152459662396,0.009208453233609602,-2.8105862953399936,0.00494513257439859,-0.043929389150858617,-0.007832915768466175
5,spec_05_add_category,+ Category FE,Intercept,0.018494584840678483,0.001362693748591467,13.57207726225735,5.863638666549917e-42,0.015823754171481328,0.021165415509875638
5,spec_05_add_category,+ Category FE,C(category)[T.commentary],0.01165578808314907,0.002300276720139605,5.067124307740537,4.0387055454658896e-07,0.007147328557199522,0.01616424760909862
5,spec_05_add_category,+ Category FE,C(category)[T.news],0.003666075836094963,0.007162865841916141,0.5118169063898382,0.6087791569542054,-0.010372883240152845,0.017705034912342772
5,spec_05_add_category,+ Category FE,C(category)[T.political],-0.0011819390878005313,0.001154727315734906,-1.0235655394090222,0.30604052892312783,-0.003445163038605559,0.0010812848630044963
5,spec_05_add_category,+ Category FE,C(category)[T.religion],0.018316027622649184,0.0025422258723863528,7.204720800617208,5.816290223720835e-13,0.013333356472206013,0.023298698773092354
5,spec_05_add_category,+ Category FE,C(category)[T.sports],0.0003536699566289835,0.003186540704395495,0.11098868316388782,0.9116253208118268,-0.005891835059257081,0.006599174972515048
5,spec_05_add_category,+ Category FE,agree_move,0.31071886310599317,0.005084770717190132,61.107743178181664,0.0,0.3007528956306566,0.32068483058132974
5,spec_05_add_category,+ Category FE,disagree_move,-0.3979615720708573,0.005017054156010452,-79.32176127580718,0.0,-0.4077948175251248,-0.3881283266165898
6,spec_06_add_current_duration,+ Current duration,Intercept,-0.7393180957565332,0.005714985180432362,-129.36483165133959,0.0,-0.7505192608823608,-0.7281169306307056
6,spec_06_add_current_duration,+ Current duration,agree_move,0.13815201908867628,0.0044904453662060854,30.765772172259826,7.523886467742494e-208,0.12935090789636758,0.14695313028098497
6,spec_06_add_current_duration,+ Current duration,disagree_move,-0.272816044540129,0.0045208765737809,-60.345828975367816,0.0,-0.28167679980329036,-0.2639552892769676
6,spec_06_add_current_duration,+ Current duration,log_duration,0.23756357672138093,0.001579441939767828,150.40981927851166,0.0,0.2344679274037639,0.24065922603899795
7,spec_07_add_response_timing,+ Gap/overlap,Intercept,0.0230523074321564,0.0016531379274015957,13.944575978841671,3.3945945599350265e-44,0.01981221663297208,0.026292398231340715
7,spec_07_add_response_timing,+ Gap/overlap,agree_move,0.3096294732114766,0.00505340481628886,61.27145646702089,0.0,0.2997249817722492,0.319533964650704
7,spec_07_add_response_timing,+ Gap/overlap,disagree_move,-0.39923149141461234,0.005015442702189183,-79.60044907707797,0.0,-0.4090615784774274,-0.38940140435179726
7,spec_07_add_response_timing,+ Gap/overlap,log_gap,-0.0005383188545113497,0.0007249030511429946,-0.7426080682962399,0.4577190023027572,-0.001959102727034816,0.0008824650180121167
7,spec_07_add_response_timing,+ Gap/overlap,overlap,0.0062292269119677965,0.008933625107740165,0.6972787459561902,0.4856283665488049,-0.011280356550585686,0.02373881037452128
8,spec_08_add_previous_duration,+ Previous duration,Intercept,0.7683764025997465,0.005226004884788521,147.02940765254183,0.0,0.7581336212425306,0.7786191839569624
8,spec_08_add_previous_duration,+ Previous duration,agree_move,0.2607462859868071,0.004344842721986479,60.01282501374247,0.0,0.25223055073322265,0.26926202124039156
8,spec_08_add_previous_duration,+ Previous duration,disagree_move,-0.23823909162424908,0.004254772590794939,-55.99337838634937,0.0,-0.24657829266461534,-0.22989989058388283
8,spec_08_add_previous_duration,+ Previous duration,previous_log_duration,-0.23683384579266822,0.001435903845554335,-164.93712063375511,0.0,-0.2396481656152173,-0.23401952597011916
9,spec_09_exp2_baseline,Exp2 controls,Intercept,1.7852918119304166,0.007585756644566673,235.3478888897838,0.0,1.7704240021115805,1.8001596217492528
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.commentary],-0.04678955653339099,0.005727190093146771,-8.169722983244432,3.0909837774693726e-16,-0.05801464284857326,-0.035564470218208716
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.news],-0.02356496704609183,0.01757857213494067,-1.3405506923541355,0.1800663753273144,-0.058018335330214915,0.010888401238031253
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.political],0.022637011517769316,0.0034196802421536136,6.619628127427842,3.601036038353496e-11,0.015934561404505023,0.029339461631033608
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.religion],0.01815563526074571,0.0051853961297538146,3.501301502612044,0.00046299172710675013,0.007992445600854848,0.028318824920636573
9,spec_09_exp2_baseline,Exp2 controls,C(category)[T.sports],0.012656795509604187,0.009108244309792962,1.3895977181898722,0.16465106905039084,-0.005195035299981901,0.030508626319190275
9,spec_09_exp2_baseline,Exp2 controls,agree_move,0.188237757427232,0.0034680414988650667,54.277827266148265,0.0,0.18144052099256616,0.19503499386189785
9,spec_09_exp2_baseline,Exp2 controls,disagree_move,-0.20088481206737704,0.0038240699321022394,-52.53167845624174,0.0,-0.20837985140865997,-0.19338977272609412
9,spec_09_exp2_baseline,Exp2 controls,lag_agree_move,0.03777486500511297,0.0034960165999497763,10.805116029956965,3.25545173587702e-27,0.030922798379857234,0.0446269316303687
9,spec_09_exp2_baseline,Exp2 controls,lag_disagree_move,0.08449091278625001,0.003796486398239708,22.255028445624184,1.0082955209211655e-109,0.077049936177904,0.09193188939459603
9,spec_09_exp2_baseline,Exp2 controls,previous_log_assumption_count,-0.9768661100639755,0.0033444305919983325,-292.08742211638713,0.0,-0.9834210735730862,-0.9703111465548648
9,spec_09_exp2_baseline,Exp2 controls,timeline_position,0.4246998704774233,0.013884577153618361,30.58788652895672,1.7737244077299307e-205,0.39748659931576363,0.45191314163908297
9,spec_09_exp2_baseline,Exp2 controls,I(timeline_position ** 2),-0.38105520524674436,0.012630258470371625,-30.17002432219682,5.859703259940874e-200,-0.4058100569641047,-0.356300353529384
10,spec_10_full_timing,Full timing,Intercept,1.1151707775233812,0.0049675114176337505,224.4928463706657,0.0,1.1054346340520276,1.1249069209947349
10,spec_10_full_timing,Full timing,C(category)[T.commentary],-0.007775342462884328,0.003084610835739888,-2.5206883062184735,0.011712555055083783,-0.013821068607256504,-0.0017296163185121513
10,spec_10_full_timing,Full timing,C(category)[T.news],0.01013060704729384,0.00819074806866799,1.2368353857746375,0.2161482021093667,-0.005922964173736426,0.02618417826832411
10,spec_10_full_timing,Full timing,C(category)[T.political],0.02076408308309173,0.0018607552511822906,11.158954445996379,6.47485625541725e-29,0.01711706980673066,0.0244110963594528
10,spec_10_full_timing,Full timing,C(category)[T.religion],0.0007551973230176367,0.002684688925720451,0.2812978873576481,0.7784819305651625,-0.004506696281087975,0.006017090927123249
10,spec_10_full_timing,Full timing,C(category)[T.sports],0.03805950174648353,0.004266244671982514,8.921078061094272,4.6177097630419355e-19,0.029697815840161908,0.04642118765280515
10,spec_10_full_timing,Full timing,agree_move,0.031242507058708045,0.0023763831782425376,13.147083073451794,1.7686677354166426e-39,0.026584881615885844,0.03590013250153025
10,spec_10_full_timing,Full timing,disagree_move,-0.03740841856349388,0.0026436370533877585,-14.150360964095233,1.8580112096031433e-45,-0.04258985197632948,-0.032226985150658284
10,spec_10_full_timing,Full timing,lag_agree_move,0.01325241338118957,0.002537253153174641,5.2231340670945645,1.7591992478817664e-07,0.008279488581306584,0.018225338181072557
10,spec_10_full_timing,Full timing,lag_disagree_move,0.010527102183575191,0.0025786513040030852,4.082406243617728,4.457179549942867e-05,0.0054730384990418985,0.015581165868108485
10,spec_10_full_timing,Full timing,previous_log_assumption_count,-0.9968495017473015,0.0023496164393570188,-424.26052399433036,0.0,-1.0014546653459244,-0.9922443381486785
10,spec_10_full_timing,Full timing,timeline_position,-0.14338109774658744,0.009424128330084762,-15.214255655758654,2.844361432977448e-52,-0.16185204985923718,-0.12491014563393771
