category,episode,speaker_id,offset,granger_p_value
business,business/004_The_Theory_Behind_Marketing_-_Buck_Wise,SPEAKER_00,3,0.4411902631683798
business,business/004_The_Theory_Behind_Marketing_-_Buck_Wise,SPEAKER_01,3,0.15983719083434517
business,business/004_The_Theory_Behind_Marketing_-_Buck_Wise,SPEAKER_00,-5,0.3138615645777309
business,business/004_The_Theory_Behind_Marketing_-_Buck_Wise,SPEAKER_01,-5,0.19768565064950386
business,business/004_The_Theory_Behind_Marketing_-_Buck_Wise,SPEAKER_00,5,0.9582796062838703
business,business/004_The_Theory_Behind_Marketing_-_Buck_Wise,SPEAKER_01,5,0.23271573431610637
business,business/004__Essentials_To_Start_Selling,SPEAKER_00,-1,0.5800042709670988
business,business/004__Essentials_To_Start_Selling,SPEAKER_01,-1,0.6726080657115843
business,business/004__Essentials_To_Start_Selling,SPEAKER_00,1,0.3464604432103346
business,business/004__Essentials_To_Start_Selling,SPEAKER_01,1,0.5585294893531676
business,business/004__Essentials_To_Start_Selling,SPEAKER_00,-3,0.6519736185328913
business,business/004__Essentials_To_Start_Selling,SPEAKER_01,-3,0.678368846495933
business,business/004__Essentials_To_Start_Selling,SPEAKER_00,3,0.3016515411767461
business,business/004__Essentials_To_Start_Selling,SPEAKER_01,3,0.49399287773274936
business,business/004__Essentials_To_Start_Selling,SPEAKER_00,-5,0.5347853781387751
business,business/004__Essentials_To_Start_Selling,SPEAKER_01,-5,0.4153429999311784
business,business/004__Essentials_To_Start_Selling,SPEAKER_00,5,0.4929401562250615
business,business/004__Essentials_To_Start_Selling,SPEAKER_01,5,0.230195617294941
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_00,-1,0.10574022779214379
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_01,-1,0.17760379580675684
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_00,1,0.045619234408740904
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_01,1,0.3206688817482888
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_00,-3,0.2881758283940206
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_01,-3,0.9789657257850342
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_00,3,0.6783164984407406
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_01,3,0.6248527558366537
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_00,-5,0.8018519287144775
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_01,-5,0.06950906666848271
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_00,5,0.0242020235870323
business,business/004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,SPEAKER_01,5,0.21519306919347664
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_00,-1,0.29242302193197867
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_01,-1,0.0019361068915615392
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_00,1,0.8440276889613054
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_01,1,0.824504501814908
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_00,-3,0.00015039366655905325
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_01,-3,0.9905122292426933
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_00,3,0.9032001980413829
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_01,3,0.5169766087686474
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_00,-5,0.7260896136933515
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_01,-5,0.9825754113168151
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_00,5,0.9121100904700482
business,business/005_-_Body_Shaming___Body_Confidence,SPEAKER_01,5,0.3940975023931268
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_00,-1,0.5016055660584074
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_01,-1,0.6543964750745233
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_00,1,0.0904842680304725
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_01,1,0.6766479570448962
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_00,-3,0.563022594861414
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_01,-3,0.2529875409904049
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_00,3,0.14525723546664004
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_01,3,0.712181481829872
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_00,-5,0.4782192718955471
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_01,-5,0.7406347143255455
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_00,5,0.9011398033874793
business,business/005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,SPEAKER_01,5,0.4372920005030161
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_00,-1,0.5816815047641167
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_01,-1,0.7102062379544256
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_00,1,0.2808311428422641
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_01,1,0.4313476804550159
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_00,-3,
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_01,-3,0.15427070517709873
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_00,3,0.5761387631823291
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_01,3,0.5431042731455423
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_00,-5,0.02726132264364438
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_01,-5,0.4056793961158468
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_00,5,
business,business/006_Motivation___Yo-Yo_Dieting,SPEAKER_01,5,0.7794422046956779
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_00,-1,0.05813913263188753
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_01,-1,0.5505762429599228
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_00,1,0.8714552551638673
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_01,1,0.7073651535053241
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_00,-3,0.32290345296343487
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_01,-3,0.6220572791777139
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_00,3,0.8205868202009609
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_01,3,0.4671147977340204
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_00,-5,
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_01,-5,0.5573338134103847
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_00,5,0.10638172511933824
business,business/006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,SPEAKER_01,5,0.786884722577474
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_00,-1,0.46732618254176617
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_01,-1,0.20053429355023436
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_00,1,0.15670751376757627
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_01,1,0.11245921780942576
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_00,-3,0.837811900880297
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_01,-3,0.45435425131010154
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_00,3,0.7884527908387899
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_01,3,0.22636838274215001
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_00,-5,0.0975665943404763
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_01,-5,0.9515076340244655
business,business/006__Youtube_101__with_Grant_Long,SPEAKER_00,5,0.9065574045014895
