delta_stance_pt,delta_stance_strength,lag1_delta_stance_strength,previous_log_iceberg_density,timeline_position,category,predicted_delta_log_iceberg_density,reference_category,reference_previous_log_iceberg_density,reference_timeline_position
-10,-2.0,0.0,0.03401688527825416,0.5299468651226481,business,0.053869216700455747,business,0.03401688527825416,0.5299468651226481
-9,-1.8,0.0,0.03401688527825416,0.5299468651226481,business,0.04987889955877581,business,0.03401688527825416,0.5299468651226481
-8,-1.6,0.0,0.03401688527825416,0.5299468651226481,business,0.04588858241709587,business,0.03401688527825416,0.5299468651226481
-7,-1.4,0.0,0.03401688527825416,0.5299468651226481,business,0.041898265275415916,business,0.03401688527825416,0.5299468651226481
-6,-1.2,0.0,0.03401688527825416,0.5299468651226481,business,0.037907948133735964,business,0.03401688527825416,0.5299468651226481
-5,-1.0,0.0,0.03401688527825416,0.5299468651226481,business,0.033917630992056025,business,0.03401688527825416,0.5299468651226481
-4,-0.8,0.0,0.03401688527825416,0.5299468651226481,business,0.029927313850376072,business,0.03401688527825416,0.5299468651226481
-3,-0.6,0.0,0.03401688527825416,0.5299468651226481,business,0.025936996708696133,business,0.03401688527825416,0.5299468651226481
-2,-0.4,0.0,0.03401688527825416,0.5299468651226481,business,0.02194667956701618,business,0.03401688527825416,0.5299468651226481
-1,-0.2,0.0,0.03401688527825416,0.5299468651226481,business,0.017956362425336242,business,0.03401688527825416,0.5299468651226481
0,0.0,0.0,0.03401688527825416,0.5299468651226481,business,0.01396604528365629,business,0.03401688527825416,0.5299468651226481
1,0.2,0.0,0.03401688527825416,0.5299468651226481,business,0.009975728141976337,business,0.03401688527825416,0.5299468651226481
2,0.4,0.0,0.03401688527825416,0.5299468651226481,business,0.005985411000296398,business,0.03401688527825416,0.5299468651226481
3,0.6,0.0,0.03401688527825416,0.5299468651226481,business,0.001995093858616452,business,0.03401688527825416,0.5299468651226481
4,0.8,0.0,0.03401688527825416,0.5299468651226481,business,-0.0019952232830634936,business,0.03401688527825416,0.5299468651226481
5,1.0,0.0,0.03401688527825416,0.5299468651226481,business,-0.005985540424743446,business,0.03401688527825416,0.5299468651226481
6,1.2,0.0,0.03401688527825416,0.5299468651226481,business,-0.009975857566423385,business,0.03401688527825416,0.5299468651226481
7,1.4,0.0,0.03401688527825416,0.5299468651226481,business,-0.013966174708103338,business,0.03401688527825416,0.5299468651226481
8,1.6,0.0,0.03401688527825416,0.5299468651226481,business,-0.017956491849783283,business,0.03401688527825416,0.5299468651226481
9,1.8,0.0,0.03401688527825416,0.5299468651226481,business,-0.02194680899146323,business,0.03401688527825416,0.5299468651226481
10,2.0,0.0,0.03401688527825416,0.5299468651226481,business,-0.025937126133143175,business,0.03401688527825416,0.5299468651226481
