model_name,term,coefficient,clustered_se,t,p,ci_low,ci_high
primary_signed_change,Intercept,0.06759556763709558,0.0007271518175983148,92.95936006920081,0.0,0.06617037626331004,0.06902075901088112
primary_signed_change,C(category)[T.commentary],0.013167139722179673,0.001470012952621721,8.957158981964412,3.331511678875568e-19,0.010285967278233716,0.016048312166125633
primary_signed_change,C(category)[T.news],0.013267094619718282,0.005562702805433341,2.3850087059764755,0.017078717177218965,0.0023643974643690144,0.024169791775067548
primary_signed_change,C(category)[T.political],-0.005776289865309097,0.000774804456159909,-7.455158291083642,8.97599997516537e-14,-0.007294878694443663,-0.004257701036174532
primary_signed_change,C(category)[T.religion],0.008423804896063461,0.001178346241342274,7.148836734496445,8.751634243870896e-13,0.0061142887017144616,0.010733321090412461
primary_signed_change,C(category)[T.sports],0.005129322617522984,0.001890276889861714,2.713529771767049,0.006657058612791855,0.001424447992585638,0.00883419724246033
primary_signed_change,delta_stance_strength,-0.019951585708399732,0.0004368021611728856,-45.67648121251609,0.0,-0.02080770221266785,-0.019095469204131615
primary_signed_change,lag1_delta_stance_strength,-0.0034090412574933034,0.000432587335869751,-7.880584970521979,3.2585194417026226e-15,-0.004256896855966147,-0.0025611856590204594
primary_signed_change,previous_log_iceberg_density,-0.9135625418850518,0.00318654365621068,-286.6938728752352,0.0,-0.9198080526863893,-0.9073170310837143
primary_signed_change,timeline_position,-0.08377685890541528,0.0026628178026855505,-31.46173156155228,2.901180550385797e-217,-0.08899588589607105,-0.07855783191475951
primary_signed_change,I(timeline_position ** 2),0.07778104028023974,0.0024198634202871228,32.14273980430302,1.115637979880523e-226,0.07303819512897107,0.08252388543150842
secondary_directional_change,Intercept,0.06989214332456675,0.0007425346407824222,94.12644136160453,0.0,0.06843680217135982,0.07134748447777368
secondary_directional_change,C(category)[T.commentary],0.013269836575260933,0.0014690298445772096,9.033061257567592,1.6693517226659606e-19,0.010390590987675129,0.016149082162846738
secondary_directional_change,C(category)[T.news],0.013063346954767885,0.005501093277210785,2.37468195801824,0.017564076828353193,0.0022814022558393307,0.02384529165369644
secondary_directional_change,C(category)[T.political],-0.004907204291577735,0.0007749844497828414,-6.332003555623321,2.419979088855089e-10,-0.006426145901730695,-0.0033882626814247755
secondary_directional_change,C(category)[T.religion],0.008363124454908066,0.0011792837518325864,7.091698195546166,1.3247617680184968e-12,0.006051770773762925,0.010674478136053206
secondary_directional_change,C(category)[T.sports],0.0053130390637538254,0.0018814306989383314,2.823935564967612,0.004743792068767859,0.0016255026544266748,0.009000575473080976
secondary_directional_change,shift_toward_agreement,-0.024848939290319824,0.0006405746864859914,-38.79163478443702,0.0,-0.026104442605240405,-0.023593435975399243
secondary_directional_change,shift_toward_disagreement,0.015577205239494248,0.0007622419357933714,20.436038097642687,7.997392319436639e-93,0.014083238497833148,0.017071171981155348
secondary_directional_change,lag1_shift_toward_agreement,-0.01129207406920645,0.0006655343019805166,-16.966930232751587,1.4427970440863786e-64,-0.012596497331564267,-0.009987650806848634
secondary_directional_change,lag1_shift_toward_disagreement,-0.004475723226727513,0.0006841321159102969,-6.542191373039366,6.062385454491506e-11,-0.0058165975345788766,-0.0031348489188761488
secondary_directional_change,previous_log_iceberg_density,-0.9143949786881709,0.003182951393146542,-287.2789640008406,0.0,-0.9206334487832797,-0.9081565085930621
secondary_directional_change,timeline_position,-0.07801266912615096,0.0026807173360598098,-29.101415534103296,3.44484448475969e-186,-0.08326677855756034,-0.07275855969474157
secondary_directional_change,I(timeline_position ** 2),0.07353559652222628,0.002426713567302426,30.30254477209259,1.0611834273271162e-201,0.06877932532951882,0.07829186771493375
lexical_rate_baseline,Intercept,0.06618656903111966,0.0007336005303089371,90.22153923913724,0.0,0.06474873841267466,0.06762439964956467
lexical_rate_baseline,C(category)[T.commentary],0.013175531778955139,0.001472951034241115,8.944989665419094,3.7198455867303617e-19,0.01028860080085153,0.01606246275705875
lexical_rate_baseline,C(category)[T.news],0.01338681990045073,0.005575782712652021,2.4008862235744353,0.016355420915472464,0.002458486598031724,0.024315153202869737
lexical_rate_baseline,C(category)[T.political],-0.005627143847375477,0.0007775060965101672,-7.237427298168964,4.572757224541004e-13,-0.007151027794295729,-0.004103259900455226
lexical_rate_baseline,C(category)[T.religion],0.00836447432931358,0.0011831632454255066,7.069586011611968,1.5539659051961276e-12,0.006045516980448062,0.010683431678179098
lexical_rate_baseline,C(category)[T.sports],0.005199047389453495,0.0018936260505992809,2.7455512601382615,0.006040932939814374,0.0014876085300920823,0.008910486248814907
lexical_rate_baseline,words_per_second,0.00013164272182754713,3.2381049270073685e-05,4.065424833197432,4.7945045432005396e-05,6.81770314765857e-05,0.00019510841217850854
lexical_rate_baseline,previous_log_iceberg_density,-0.9171148984393929,0.003194096410138154,-287.1281203436577,0.0,-0.9233752123664123,-0.9108545845123734
lexical_rate_baseline,timeline_position,-0.08204337045781046,0.002675408396452004,-30.665737076482372,1.6303847464671027e-206,-0.08728707455879245,-0.07679966635682847
lexical_rate_baseline,I(timeline_position ** 2),0.07761885673334186,0.002429954488389003,31.94251460437893,6.863615152632225e-224,0.07285623345202796,0.08238148001465576
