episode_id,n_turns,best_shift,best_corr,causal_direction,mean_iceberg,mean_stance
42503,93,-19,-0.49853098583204625,H2_support,0.03959724744866556,4.247311827956989
42579,72,-25,-0.31140941306946146,H2_support,0.026263333554978632,3.986111111111111
42598,69,0,-0.23876887309243122,synchronous,0.027778780835754247,3.8260869565217392
43208,85,2,-0.5241513022802085,H1_support,0.04608740934357763,3.6470588235294117
43670,77,-23,-0.39705624116814897,H2_support,0.02511296391476924,4.363636363636363
43768,68,22,-0.2908040707645847,H1_support,0.032772561671434046,3.75
43896,82,-23,-0.5982566938030637,H2_support,0.028810826341913245,3.6097560975609757
43939,74,15,-0.4559128919920586,H1_support,0.026674015506024322,4.351351351351352
43960,188,4,-0.1614674721140865,H1_support,0.08083241263745979,3.50531914893617
44532,83,23,-0.42469303736307734,H1_support,0.03740744607823676,3.8674698795180724
44562,73,0,-0.6425753387597921,synchronous,0.03796736951932486,4.273972602739726
44571,82,12,-0.4416229325913006,H1_support,0.0731187233607167,3.5853658536585367
44581,69,19,-0.39551646671842633,H1_support,0.02194535872821964,4.449275362318841
44727,78,19,-0.4467133166790967,H1_support,0.027801002428985096,4.012820512820513
44731,74,0,-0.4689873837212466,synchronous,0.029789638162997203,4.391891891891892
44762,68,-3,-0.4330248311643526,H2_support,0.03649935421850873,4.323529411764706
44848,81,-12,-0.2867798880048204,H2_support,0.037926128422146495,3.6419753086419755
44918,103,4,-0.2957433360470165,H1_support,0.042927415502521875,4.242718446601942
44937,69,-3,-0.2325794752951736,H2_support,0.037942151314746195,3.550724637681159
44950,89,12,-0.40960427265177746,H1_support,0.046863287610039724,3.561797752808989
44982,93,-13,-0.407087908084154,H2_support,0.023315772493122642,4.602150537634409
44986,102,2,-0.3630891733168127,H1_support,0.03161651670383841,4.1568627450980395
44987,108,-24,-0.13445990497932175,H2_support,0.0428993982038334,3.9074074074074074
45002,77,-15,-0.4168263995973937,H2_support,0.03769953521854178,3.948051948051948
45043,72,19,-0.4426386142482633,H1_support,0.03651529165263138,3.7083333333333335
45182,106,-19,-0.35100009035049823,H2_support,0.01978704399314201,3.8867924528301887
45239,68,15,-0.536103453935408,H1_support,0.017252532764518956,4.235294117647059
45296,122,0,-0.3767805257678298,synchronous,0.030051851253529337,4.172131147540983
45344,132,0,-0.3307500714852706,synchronous,0.040563613139318354,4.03030303030303
45393,112,2,-0.5064984585894173,H1_support,0.033634516210862934,4.026785714285714
45547,90,0,-0.47607326076302103,synchronous,0.03435067942410881,4.055555555555555
45549,136,0,-0.3756946686401372,synchronous,0.028776769815793992,4.1838235294117645
45561,119,0,-0.5070380101700083,synchronous,0.03002237142151417,4.184873949579832
45565,96,24,-0.33177023146757134,H1_support,0.02120563735589148,4.208333333333333
45566,94,5,-0.5043109040640587,H1_support,0.032353644847565456,4.117021276595745
45583,145,0,-0.453334288799773,synchronous,0.03603847210064699,4.082758620689655
45589,90,0,-0.43599839528081,synchronous,0.02421141146114015,3.9555555555555557
45734,246,12,-0.21597090838432562,H1_support,0.05880103697066548,3.6951219512195124
45819,75,2,-0.5245491489442189,H1_support,0.04107010046426046,3.8266666666666667
46161,74,-4,-0.6668428829669512,H2_support,0.033972008649939274,4.216216216216216
46165,106,-6,-0.3161285129956856,H2_support,0.047470189043642794,3.80188679245283
46187,70,24,-0.3935136915571146,H1_support,0.027310291960751132,4.2
46218,94,0,-0.5000727802156714,synchronous,0.04576020247061408,3.978723404255319
46355,84,1,-0.5271795603128026,H1_support,0.03203652763558971,3.9642857142857144
46364,66,-18,-0.49866212550806127,H2_support,0.028027763921425405,3.9393939393939394
46409,75,10,-0.33330840951846624,H1_support,0.030437182907787404,4.013333333333334
46418,93,0,-0.2667079933713954,synchronous,0.03479675306782212,4.247311827956989
46426,114,-1,-0.4094157443596511,H2_support,0.03900899723231968,3.8157894736842106
46432,90,23,-0.2986747790061851,H1_support,0.03290566639751029,4.277777777777778
46524,67,0,-0.6624561083740715,synchronous,0.023573108029766185,4.208955223880597
46525,66,20,-0.5400398159309174,H1_support,0.01473353684496874,4.393939393939394
46526,70,-1,-0.3938485820815924,H2_support,0.019423945852665995,4.0285714285714285
46776,161,7,-0.2846480716742575,H1_support,0.049659089778140486,3.919254658385093
46836,122,-16,-0.48748058664597854,H2_support,0.05139222363720958,3.762295081967213
46850,66,0,-0.6024394591634705,synchronous,0.04044736293838292,4.0
46917,98,-10,-0.21640236688969805,H2_support,0.02947906163477625,3.561224489795918
47084,122,0,-0.17606006311688116,synchronous,0.044414952392556675,4.360655737704918
47090,113,11,-0.20429606976127318,H1_support,0.038770990030539784,3.920353982300885
47098,88,-6,-0.34051651139290473,H2_support,0.02545673402198976,3.6931818181818183
47112,111,-23,-0.39535400038955026,H2_support,0.03146754003612595,3.972972972972973
47118,104,16,-0.45981569174663584,H1_support,0.03068429749299384,3.7788461538461537
47126,92,-1,-0.40549406435673846,H2_support,0.04357520625010145,3.7282608695652173
47137,71,20,-0.48465514416156535,H1_support,0.030394852254846023,3.915492957746479
47140,79,23,-0.3742482719808261,H1_support,0.02980195949692219,3.9240506329113924
47144,72,-7,-0.3116214611967811,H2_support,0.027931051263111868,3.9305555555555554
47149,97,-2,-0.2896523307838802,H2_support,0.03478967402652835,4.144329896907217
47151,70,14,-0.39617616241553744,H1_support,0.03726604789359219,4.1571428571428575
47158,71,16,-0.4471400130663149,H1_support,0.04288847294017308,3.9577464788732395
47159,65,-25,-0.5604698836648593,H2_support,0.03543422718586737,4.015384615384615
