model_name,n_rows,n_episodes,rsquared,adjusted_rsquared,aic,bic
primary_signed_change,339418,10301,0.46314198757567926,0.4631261700465056,-640414.830917844,-640296.7460535273
secondary_directional_change,339418,10301,0.4637074834238045,0.4636885222706131,-640768.54306047,-640628.9882208231
