episode_id,shift_-15,shift_-14,shift_-13,shift_-12,shift_-11,shift_-10,shift_-9,shift_-8,shift_-7,shift_-6,shift_-5,shift_-4,shift_-3,shift_-2,shift_-1,shift_0,shift_1,shift_2,shift_3,shift_4,shift_5,shift_6,shift_7,shift_8,shift_9,shift_10,shift_11,shift_12,shift_13,shift_14,shift_15
42088,,,,,,,,,0.08700918131824385,,,-0.07997429255920158,,,-0.08313352654609477,,-0.528165052420406,,,0.0851040889701662,,,0.27891223889066186,,,,,,,,
42626,,,,0.21592113954121686,,,,-0.34037269243804946,,-0.3987087452129426,,-0.12809064437690276,0.18646258319558243,0.20989010033339559,0.25907239894058737,,0.2985753343474143,0.42080368258796136,0.36494602945087307,0.38423553504618835,,-0.23710319464617516,,-0.6894397980902928,,,,0.36887125701782875,,,
43670,-0.05579399197021305,0.2317619637709445,-0.023659699113869136,-0.0512963561642886,0.08334404997260704,-0.2773728283506927,-0.10386021572679884,0.016493239031538293,-0.2192022732249396,-0.038822538215681754,-0.06011386846204039,-0.06574556197020008,-0.23789337711892206,-0.18331643714177892,-0.3038043298620211,,-0.06811364393194715,0.2920031703812215,0.042651517278267985,0.18809759152426084,0.4321835325134891,0.17059234129078374,0.2669907326285356,0.08526917790498495,0.3624422444230758,0.13633286510028722,0.29803337591416784,0.08293180541375886,0.1020524060370526,0.1578630444793219,-0.3253252076019293
43991,-0.08963571815182295,,-0.10730430129861271,-0.17728160208748198,-0.0017867748149329227,0.14921157229676846,,-0.5336639085884367,,-0.6202116909797096,-0.09602342423235921,-0.4170957143731727,0.02893662224519639,0.14230228442189438,-0.4962655035906912,,-0.4236841461530288,0.4666284909379771,-0.3236847654181437,0.47505354418474066,-0.15746761242001506,-0.2138401096724048,,-0.07576340610662403,,-0.7439392816158873,-0.23533095433212056,-0.3379027136155142,0.1276946410497173,,-0.35194824864398055
44410,,,,,,,,,,,,,,,-0.4546184858591057,,-0.07407459273763954,,,,,,,,,,,,,,
44444,,,,,0.5421584129687909,,0.414809452722713,,0.1833734188692435,,0.26904446562705014,,0.11987669300289,,-0.37371895753672973,,-0.39882094480391067,,0.3143191938094965,,0.15135230626372198,,-0.4603193256063757,,-0.4297039542118882,,-0.004016223467005076,,,,
44449,,,,,,,,,0.3590450588333707,,0.371149920557208,,0.3936757356259764,,-0.5735955076746462,,-0.6073410524461947,,0.1257680723273745,,-0.007553347977799517,,0.13653087341766137,,,,,,,,
44555,,,,,,,,,0.06446567921382747,,,,-0.029242769815445754,,-0.3743750557075343,,-0.3557020949088005,,-0.39934039105825736,,,,0.10018696493116416,,,,,,,,
44562,-0.1980919059815127,0.06994618706962118,-0.25017080864947083,0.09202307925100772,0.15893717005602492,0.2604027765319666,0.24093839075006698,0.28394957547203914,0.4149784014577915,0.08501389190118779,0.1535172254100236,-0.24181805698978848,-0.20973434273904756,-0.44167800571376914,-0.6616310211378327,,-0.50066918189845,0.058328451914430986,0.058023148168899835,0.08607471182412879,0.04663442880065177,-0.1420491802862337,0.19080627136191447,-0.054746934880233855,0.1905829706455581,0.20520974100028033,0.112113292518366,0.2487745991168195,-0.09911709281111063,0.23575019534901867,-0.1323752581146027
44606,,,,,,,,,,-0.14606503925371134,,,,,-0.12158388865030424,,-0.23174061513989572,,,,,-0.3563194046124487,,,,,,,,,
44607,,,,,0.2891404336197216,,-0.04829338407938489,,0.06462475996737023,,-0.022046174197800656,,-0.07852077645906907,,-0.24685874159627755,,-0.4081914831062131,,-0.20788801811282448,,0.0026994348112888444,,-0.03482500739473912,,0.10537433318934683,,0.4651632924121677,,,,
44975,,,,,,,,,,,,,-0.22852160245418232,,-0.525462051615569,,-0.7727478892119715,,-0.5466284536946866,,,,,,,,,,,,
44982,0.040298916272074985,-0.2588331733065272,-0.2461679899080481,-0.15266947816345033,-0.08212528845943633,-0.0033233076681880207,0.41900438739084844,0.05301913744714446,0.0293466905599014,-0.17328528795871628,-0.0832108981277547,-0.16349433746858277,-0.25592876773687423,-0.17247441056709273,-0.012790349727536898,,0.05509770887743493,0.05246242557734473,0.00489394137634061,-0.011517477940648502,-0.2625976770470996,-0.014730100851584653,-0.12419436206655003,-0.03802029203566624,0.18434522496820296,0.3100779619914016,0.11725608993341699,0.10854193115520566,0.08264609973009718,0.11406122229406278,0.0017337023526467319
45081,,,,,,,,,,,,,,,-0.33978565180650533,,-0.25328439049106743,,,,,,,,,,,,,,
45178,,,,,,,,,,,,,,,-0.7137360671570068,,-0.4031800741924129,,,,,,,,,,,,,,
45242,,,,,,,,,,,,-0.3782991181297389,,,-0.45664418405772095,,-0.20957146416804248,,,-0.2894422470153426,,,,,,,,,,,
45336,0.44183601331725386,,0.14052223564370034,,0.2569082881433976,,0.30957362496114793,,0.04514422801140177,,0.03672950368668802,,-0.34196905528862515,,-0.5701218943174916,,-0.5202848816668884,,-0.22261592220056825,,0.11217509935278991,,0.029463366542854322,,-0.20634027790771978,,-0.2840850875612462,,-0.05633247450296994,,-0.004715773628818121
45340,-0.5295958951090987,,-0.12584130121801165,,,,,-0.11754679387088517,,0.02446913026708716,,-0.11853113148551314,0.31399938279750145,,-0.4272339439670881,,-0.637653869499229,,0.09602507286522867,-0.03544012513934349,,0.3551811630328151,,0.2697758921471761,,,,,0.5549210941787978,,0.47635357788327115
