prompt,turn_num,num_statements,visibility
prompt2,3,8,explicit
prompt2,1,5,explicit
prompt2,2,7,explicit
prompt2,3,7,explicit
prompt2,4,5,explicit
prompt2,5,8,explicit
prompt2,6,5,explicit
prompt2,7,7,explicit
prompt2,8,7,explicit
prompt2,9,5,explicit
prompt2,10,4,explicit
prompt2,11,4,explicit
prompt2,12,5,explicit
prompt2,13,8,explicit
prompt2,14,5,explicit
prompt2,15,7,explicit
prompt2,16,6,explicit
prompt2,17,4,explicit
prompt2,18,4,explicit
prompt2,1,6,explicit
prompt2,2,5,explicit
prompt2,3,7,explicit
prompt2,4,0,explicit
prompt2,5,8,explicit
prompt2,6,10,explicit
prompt2,7,10,explicit
prompt2,8,10,explicit
prompt2,9,6,explicit
prompt2,10,8,explicit
prompt2,11,7,explicit
prompt2,12,9,explicit
prompt2,13,7,explicit
prompt2,14,10,explicit
prompt2,15,5,explicit
prompt2,16,8,explicit
prompt2,17,10,explicit
prompt2,1,5,explicit
prompt2,2,7,explicit
prompt2,3,10,explicit
prompt2,4,5,explicit
prompt2,5,10,explicit
prompt2,6,5,explicit
prompt2,7,5,explicit
prompt2,8,8,explicit
prompt2,9,8,explicit
prompt2,10,0,explicit
prompt2,11,4,explicit
prompt2,12,0,explicit
prompt2,13,10,explicit
prompt2,14,3,explicit
prompt2,1,10,explicit
prompt2,2,10,explicit
prompt2,3,10,explicit
prompt2,4,7,explicit
prompt2,5,5,explicit
prompt2,6,7,explicit
prompt2,7,10,explicit
prompt2,8,5,explicit
prompt2,9,8,explicit
prompt2,10,4,explicit
prompt2,11,10,explicit
prompt2,12,3,explicit
prompt2,13,0,explicit
prompt2,14,0,explicit
prompt2,15,4,explicit
prompt2,16,7,explicit
prompt2,17,4,explicit
prompt2,18,5,explicit
prompt2,19,10,explicit
prompt2,20,4,explicit
prompt2,21,6,explicit
prompt2,22,5,explicit
prompt2,23,4,explicit
prompt2,24,8,explicit
prompt2,25,5,explicit
prompt2,26,10,explicit
prompt2,27,6,explicit
prompt2,28,10,explicit
prompt2,29,5,explicit
prompt2,30,5,explicit
prompt2,31,6,explicit
prompt2,32,6,explicit
prompt2,33,10,explicit
prompt2,34,4,explicit
prompt2,35,10,explicit
prompt2,36,8,explicit
prompt2,37,8,explicit
prompt2,38,10,explicit
prompt2,39,5,explicit
prompt2,40,10,explicit
prompt2,41,2,explicit
prompt2,42,7,explicit
prompt2,43,4,explicit
prompt2,44,10,explicit
prompt2,45,0,explicit
prompt2,46,10,explicit
prompt2,47,5,explicit
prompt2,48,10,explicit
prompt2,49,4,explicit
prompt2,50,10,explicit
prompt2,51,4,explicit
prompt2,52,10,explicit
prompt2,53,3,explicit
prompt2,54,5,explicit
prompt2,55,4,explicit
prompt2,56,10,explicit
prompt2,57,4,explicit
prompt2,58,10,explicit
prompt2,59,8,explicit
prompt2,60,10,explicit
prompt2,61,8,explicit
prompt2,62,8,explicit
prompt2,63,2,explicit
prompt2,64,5,explicit
prompt2,65,5,explicit
prompt2,66,7,explicit
prompt2,67,7,explicit
prompt2,68,8,explicit
prompt2,1,8,explicit
prompt2,2,4,explicit
prompt2,3,7,explicit
prompt2,4,4,explicit
prompt2,5,7,explicit
prompt2,6,4,explicit
prompt2,7,8,explicit
prompt2,8,2,explicit
prompt2,9,5,explicit
prompt2,10,7,explicit
prompt2,11,4,explicit
prompt2,12,4,explicit
prompt2,13,6,explicit
prompt2,14,5,explicit
prompt2,15,5,explicit
prompt2,16,4,explicit
prompt2,17,6,explicit
prompt2,18,6,explicit
prompt2,19,4,explicit
prompt2,20,5,explicit
prompt2,21,5,explicit
prompt2,1,10,explicit
prompt2,2,5,explicit
prompt2,3,10,explicit
prompt2,4,8,explicit
prompt2,5,5,explicit
prompt2,6,10,explicit
prompt2,7,0,explicit
prompt2,8,10,explicit
prompt2,1,5,explicit
prompt2,2,9,explicit
prompt2,3,6,explicit
prompt2,4,8,explicit
prompt2,5,10,explicit
prompt2,1,10,explicit
prompt2,2,5,explicit
prompt2,3,5,explicit
prompt2,4,4,explicit
prompt2,5,5,explicit
prompt2,6,5,explicit
prompt2,7,2,explicit
prompt2,8,3,explicit
prompt2,9,5,explicit
prompt2,10,5,explicit
prompt2,11,10,explicit
prompt2,12,10,explicit
prompt2,13,5,explicit
prompt2,14,5,explicit
prompt2,15,0,explicit
prompt2,16,7,explicit
prompt2,17,7,explicit
prompt2,18,5,explicit
prompt2,19,4,explicit
prompt2,20,5,explicit
prompt2,21,4,explicit
prompt2,22,4,explicit
prompt2,23,10,explicit
prompt2,24,4,explicit
prompt2,25,5,explicit
prompt2,26,4,explicit
prompt2,27,0,explicit
prompt2,28,8,explicit
prompt2,29,6,explicit
prompt2,30,5,explicit
prompt2,31,3,explicit
prompt2,32,5,explicit
prompt2,33,9,explicit
prompt2,34,0,explicit
prompt2,35,4,explicit
prompt2,36,5,explicit
prompt2,37,5,explicit
prompt2,38,8,explicit
prompt2,39,3,explicit
prompt2,40,7,explicit
prompt2,41,5,explicit
prompt2,42,5,explicit
prompt2,1,5,explicit
prompt2,2,7,explicit
prompt2,3,10,explicit
prompt2,4,10,explicit
prompt2,5,5,explicit
prompt2,6,7,explicit
prompt2,7,5,explicit
prompt2,8,4,explicit
prompt2,9,8,explicit
prompt2,10,5,explicit
prompt2,11,5,explicit
prompt2,12,4,explicit
prompt2,13,5,explicit
prompt2,14,2,explicit
prompt2,15,7,explicit
prompt2,16,7,explicit
prompt2,17,9,explicit
prompt2,1,5,explicit
prompt2,2,6,explicit
prompt2,3,10,explicit
prompt2,4,10,explicit
prompt2,5,8,explicit
prompt2,6,10,explicit
prompt2,1,5,explicit
prompt2,2,0,explicit
prompt2,3,5,explicit
prompt2,4,4,explicit
prompt2,5,8,explicit
prompt2,6,5,explicit
prompt2,7,10,explicit
prompt2,8,3,explicit
prompt2,9,5,explicit
prompt2,10,8,explicit
prompt2,11,3,explicit
prompt2,12,10,explicit
prompt2,13,4,explicit
prompt2,14,10,explicit
prompt2,15,8,explicit
prompt2,16,8,explicit
prompt2,17,5,explicit
prompt3,1,8,explicit
prompt3,2,10,explicit
prompt3,3,6,explicit
prompt3,1,5,explicit
prompt3,2,6,explicit
prompt3,3,8,explicit
prompt3,1,5,explicit
prompt3,2,6,explicit
prompt3,3,8,explicit
prompt3,4,5,explicit
prompt3,5,8,explicit
prompt3,6,5,explicit
prompt3,7,5,explicit
prompt3,8,7,explicit
prompt3,9,5,explicit
prompt3,10,3,explicit
prompt3,11,5,explicit
prompt3,12,5,explicit
prompt3,13,5,explicit
prompt3,14,7,explicit
prompt3,15,7,explicit
prompt3,16,6,explicit
prompt3,17,6,explicit
prompt3,18,6,explicit
prompt3,1,5,explicit
prompt3,2,7,explicit
prompt3,3,7,explicit
prompt3,4,5,explicit
prompt3,5,7,explicit
prompt3,6,10,explicit
prompt3,7,10,explicit
prompt3,8,8,explicit
prompt3,9,6,explicit
prompt3,10,10,explicit
prompt3,11,8,explicit
prompt3,12,8,explicit
prompt3,13,7,explicit
prompt3,14,10,explicit
prompt3,15,6,explicit
prompt3,16,8,explicit
prompt3,17,10,explicit
prompt3,1,5,explicit
prompt3,2,7,explicit
prompt3,3,10,explicit
prompt3,4,5,explicit
prompt3,5,8,explicit
prompt3,6,3,explicit
prompt3,7,8,explicit
prompt3,8,10,explicit
prompt3,9,10,explicit
prompt3,10,8,explicit
prompt3,11,5,explicit
prompt3,12,10,explicit
