prompt,diversity,visibility
prompt1,0.6274509803921569,explicit
prompt1,0.7685185185185185,explicit
prompt1,0.6857142857142857,explicit
prompt1,0.7962962962962963,explicit
prompt1,0.7377049180327869,explicit
prompt1,0.0,explicit
prompt1,0.7608695652173914,explicit
prompt1,0.7719298245614035,explicit
prompt1,0.8584905660377359,explicit
prompt1,0.6797385620915033,explicit
prompt1,0.7520661157024794,explicit
prompt1,0.7848101265822784,explicit
prompt1,0.7762237762237763,explicit
prompt1,0.821917808219178,explicit
prompt1,0.7948717948717948,explicit
prompt1,0.5632183908045977,explicit
prompt1,0.6761904761904762,explicit
prompt1,0.6222222222222222,explicit
prompt1,0.6935483870967742,explicit
prompt1,0.8,explicit
prompt1,0.7111111111111111,explicit
prompt1,0.6981132075471698,explicit
prompt1,0.625,explicit
prompt1,0.5975609756097561,explicit
prompt1,0.75,explicit
prompt1,0.7727272727272727,explicit
prompt1,0.0,explicit
prompt1,0.7288135593220338,explicit
prompt1,0.7075471698113207,explicit
prompt1,0.7804878048780488,explicit
prompt1,0.6884057971014492,explicit
prompt1,0.8714285714285714,explicit
prompt1,0.7156862745098039,explicit
prompt1,0.8,explicit
prompt1,0.7377049180327869,explicit
prompt1,0.6666666666666666,explicit
prompt1,0.0,explicit
prompt1,0.6576576576576577,explicit
prompt1,0.6230769230769231,explicit
prompt1,0.6274509803921569,explicit
prompt1,0.7704918032786885,explicit
prompt1,0.8405797101449275,explicit
prompt1,0.9074074074074074,explicit
prompt1,0.6802721088435374,explicit
prompt1,0.8513513513513513,explicit
prompt1,0.6623376623376623,explicit
prompt1,0.8192771084337349,explicit
prompt1,0.7608695652173914,explicit
prompt1,0.9,explicit
prompt1,0.8333333333333334,explicit
prompt1,0.6041666666666666,explicit
prompt1,0.7407407407407407,explicit
prompt1,0.6976744186046512,explicit
prompt1,0.8611111111111112,explicit
prompt1,0.0,explicit
prompt1,0.8947368421052632,explicit
prompt1,0.64,explicit
prompt1,0.8181818181818182,explicit
prompt1,0.7888888888888889,explicit
prompt1,0.7642857142857142,explicit
prompt1,0.8301886792452831,explicit
prompt1,0.0,explicit
prompt1,0.9333333333333333,explicit
prompt1,0.719626168224299,explicit
prompt1,0.8117647058823529,explicit
prompt1,0.8256880733944955,explicit
prompt1,0.82,explicit
prompt1,0.6541353383458647,explicit
prompt1,0.6097560975609756,explicit
prompt1,0.5929203539823009,explicit
prompt1,0.7636363636363637,explicit
prompt1,0.0,explicit
prompt1,0.8043478260869565,explicit
prompt1,0.6567164179104478,explicit
prompt1,0.7352941176470589,explicit
prompt1,0.6090225563909775,explicit
prompt1,0.8,explicit
prompt1,0.7066666666666667,explicit
prompt1,0.7627118644067796,explicit
prompt1,0.671875,explicit
prompt1,0.0,explicit
prompt1,0.7094017094017094,explicit
prompt1,0.9333333333333333,explicit
prompt1,0.8524590163934426,explicit
prompt1,0.8513513513513513,explicit
prompt1,0.0,explicit
prompt1,0.0,explicit
prompt1,0.6794871794871795,explicit
prompt1,0.6774193548387096,explicit
prompt1,0.65,explicit
prompt1,0.7068965517241379,explicit
prompt1,0.72,explicit
prompt1,0.6666666666666666,explicit
prompt1,0.8421052631578947,explicit
prompt1,0.7857142857142857,explicit
prompt1,0.7631578947368421,explicit
prompt1,0.0,explicit
prompt1,0.6792452830188679,explicit
prompt1,0.6461538461538462,explicit
prompt1,0.7227722772277227,explicit
prompt1,0.8490566037735849,explicit
prompt1,0.7115384615384616,explicit
prompt1,0.68,explicit
prompt1,1.0,explicit
prompt1,0.6170212765957447,explicit
prompt1,0.6888888888888889,explicit
prompt1,0.0,explicit
prompt1,0.72,explicit
prompt1,0.6875,explicit
prompt1,0.6923076923076923,explicit
prompt1,0.6929824561403509,explicit
prompt1,0.7833333333333333,explicit
prompt1,0.8,explicit
prompt1,0.8,explicit
prompt1,0.7391304347826086,explicit
prompt1,0.8068181818181818,explicit
prompt1,0.7796610169491526,explicit
prompt1,0.0,explicit
prompt1,0.8571428571428571,explicit
prompt1,0.8444444444444444,explicit
prompt1,0.6567164179104478,explicit
prompt1,0.7375,explicit
prompt1,0.9166666666666666,explicit
prompt1,0.0,explicit
prompt1,0.7333333333333333,explicit
prompt1,0.7037037037037037,explicit
prompt1,0.88,explicit
prompt1,0.0,explicit
prompt1,0.8571428571428571,explicit
prompt1,0.7450980392156863,explicit
prompt2,0.6756756756756757,explicit
prompt2,0.7657657657657657,explicit
prompt2,0.8409090909090909,explicit
prompt2,0.7213114754098361,explicit
prompt2,0.7014925373134329,explicit
prompt2,0.6896551724137931,explicit
prompt2,0.8142857142857143,explicit
prompt2,0.7846153846153846,explicit
prompt2,0.7542372881355932,explicit
prompt2,0.7586206896551724,explicit
prompt2,0.7623762376237624,explicit
prompt2,0.7792207792207793,explicit
prompt2,0.8188976377952756,explicit
prompt2,0.7941176470588235,explicit
prompt2,0.7380952380952381,explicit
prompt2,0.6231884057971014,explicit
prompt2,0.6979166666666666,explicit
prompt2,0.5909090909090909,explicit
prompt2,0.7741935483870968,explicit
prompt2,0.7459016393442623,explicit
prompt2,0.7230769230769231,explicit
prompt2,0.6972477064220184,explicit
prompt2,0.6462585034013606,explicit
prompt2,0.5833333333333334,explicit
prompt2,0.7254901960784313,explicit
prompt2,0.6571428571428571,explicit
prompt2,0.69,explicit
prompt2,0.7636363636363637,explicit
prompt2,0.6870229007633588,explicit
prompt2,0.7727272727272727,explicit
prompt2,0.7535211267605634,explicit
prompt2,0.8055555555555556,explicit
prompt2,0.7244094488188977,explicit
prompt2,0.7971014492753623,explicit
prompt2,0.7868852459016393,explicit
prompt2,0.7532467532467533,explicit
prompt2,0.7761194029850746,explicit
prompt2,0.6129032258064516,explicit
prompt2,0.624,explicit
prompt2,0.7441860465116279,explicit
prompt2,0.6666666666666666,explicit
prompt2,0.7878787878787878,explicit
prompt2,0.75,explicit
prompt2,0.7579617834394905,explicit
prompt2,0.84,explicit
prompt2,0.6772151898734177,explicit
prompt2,0.8536585365853658,explicit
prompt2,0.7661290322580645,explicit
prompt2,0.7848101265822784,explicit
prompt2,0.8431372549019608,explicit
prompt2,0.7291666666666666,explicit
prompt2,0.7303370786516854,explicit
prompt2,0.7745098039215687,explicit
prompt2,0.8461538461538461,explicit
prompt2,0.7623762376237624,explicit
prompt2,0.7931034482758621,explicit
prompt2,0.6428571428571429,explicit
prompt2,0.825,explicit
prompt2,0.8478260869565217,explicit
prompt2,0.7753623188405797,explicit
prompt2,0.7407407407407407,explicit
prompt2,0.69,explicit
prompt2,0.8269230769230769,explicit
prompt2,0.7538461538461538,explicit
prompt2,0.7681159420289855,explicit
prompt2,0.8317757009345794,explicit
prompt2,0.8867924528301887,explicit
prompt2,0.6538461538461539,explicit
prompt2,0.7027027027027027,explicit
prompt2,0.5247524752475248,explicit
prompt2,0.9210526315789473,explicit
prompt2,0.6111111111111112,explicit
prompt2,0.9148936170212766,explicit
prompt2,0.5714285714285714,explicit
prompt2,0.6981132075471698,explicit
prompt2,0.6176470588235294,explicit
prompt2,0.7758620689655172,explicit
prompt2,0.7142857142857143,explicit
prompt2,0.686046511627907,explicit
prompt2,0.6,explicit
prompt2,0.872093023255814,explicit
prompt2,0.7007874015748031,explicit
prompt2,0.7586206896551724,explicit
prompt2,0.7058823529411765,explicit
prompt2,0.7857142857142857,explicit
prompt2,0.7469879518072289,explicit
prompt2,0.6774193548387096,explicit
prompt2,0.6,explicit
prompt2,0.6842105263157895,explicit
prompt2,0.6956521739130435,explicit
prompt2,0.6805555555555556,explicit
prompt2,0.7142857142857143,explicit
prompt2,0.64,explicit
prompt2,0.8409090909090909,explicit
prompt2,0.75,explicit
prompt2,0.717391304347826,explicit
prompt2,0.8888888888888888,explicit
prompt2,0.6333333333333333,explicit
prompt2,0.6744186046511628,explicit
prompt2,0.7281553398058253,explicit
prompt2,0.7608695652173914,explicit
prompt2,0.64,explicit
prompt2,0.7264150943396226,explicit
prompt2,0.6935483870967742,explicit
prompt2,0.6282051282051282,explicit
prompt2,0.7213114754098361,explicit
prompt2,0.813953488372093,explicit
prompt2,0.7931034482758621,explicit
prompt2,0.7209302325581395,explicit
prompt2,0.8648648648648649,explicit
prompt2,0.8584070796460177,explicit
prompt2,0.7551020408163265,explicit
prompt2,0.7924528301886793,explicit
prompt2,0.6666666666666666,explicit
prompt2,0.7027027027027027,explicit
prompt2,0.7954545454545454,explicit
prompt2,0.88,explicit
prompt2,0.9333333333333333,explicit
prompt2,0.8484848484848485,explicit
prompt2,0.8035714285714286,explicit
prompt2,0.746268656716418,explicit
prompt2,0.6446280991735537,explicit
prompt2,0.8387096774193549,explicit
prompt2,0.65,explicit
prompt2,0.7916666666666666,explicit
prompt2,0.6714285714285714,explicit
prompt2,0.7368421052631579,explicit
prompt2,0.7087378640776699,explicit
prompt2,0.7647058823529411,explicit
prompt2,0.6862745098039216,explicit
prompt3,0.648936170212766,explicit
prompt3,0.8666666666666667,explicit
prompt3,0.6666666666666666,explicit
prompt3,0.8305084745762712,explicit
prompt3,0.7222222222222222,explicit
prompt3,0.8378378378378378,explicit
prompt3,0.8518518518518519,explicit
prompt3,0.68,explicit
prompt3,0.8558558558558559,explicit
prompt3,0.7432432432432432,explicit
prompt3,0.7872340425531915,explicit
prompt3,0.7627118644067796,explicit
prompt3,0.8380281690140845,explicit
prompt3,0.875,explicit
prompt3,0.8125,explicit
prompt3,0.6615384615384615,explicit
prompt3,0.7263157894736842,explicit
prompt3,0.6444444444444445,explicit
prompt3,0.7333333333333333,explicit
prompt3,0.7886178861788617,explicit
prompt3,0.7083333333333334,explicit
prompt3,0.7403846153846154,explicit
prompt3,0.6568047337278107,explicit
prompt3,0.5764705882352941,explicit
prompt3,0.7291666666666666,explicit
prompt3,0.6914893617021277,explicit
prompt3,0.7079646017699115,explicit
prompt3,0.7083333333333334,explicit
prompt3,0.6792452830188679,explicit
prompt3,0.8,explicit
prompt3,0.7569444444444444,explicit
prompt3,0.8285714285714286,explicit
prompt3,0.7433628318584071,explicit
prompt3,0.7866666666666666,explicit
prompt3,0.8103448275862069,explicit
prompt3,0.6382978723404256,explicit
prompt3,0.6153846153846154,explicit
prompt3,0.7213114754098361,explicit
prompt3,0.6363636363636364,explicit
prompt3,0.5777777777777777,explicit
prompt3,0.6754385964912281,explicit
prompt3,0.8571428571428571,explicit
prompt3,0.7717391304347826,explicit
prompt3,0.7045454545454546,explicit
prompt3,0.8279569892473119,explicit
prompt3,0.802547770700637,explicit
prompt3,0.8588235294117647,explicit
prompt3,0.8468468468468469,explicit
prompt3,0.8928571428571429,explicit
prompt3,0.8153846153846154,explicit
prompt3,0.7252747252747253,explicit
prompt3,0.797979797979798,explicit
prompt3,0.7522935779816514,explicit
prompt3,0.7708333333333334,explicit
prompt3,0.7520661157024794,explicit
prompt3,0.8539325842696629,explicit
prompt3,0.7372881355932204,explicit
prompt3,0.8391608391608392,explicit
prompt3,0.7790697674418605,explicit
prompt3,0.7768595041322314,explicit
prompt3,0.7205882352941176,explicit
prompt3,0.6694214876033058,explicit
prompt3,0.7796610169491526,explicit
prompt3,0.7401574803149606,explicit
prompt3,0.7723577235772358,explicit
prompt3,0.8469387755102041,explicit
prompt3,0.725,explicit
prompt3,0.6618705035971223,explicit
prompt3,0.7272727272727273,explicit
prompt3,0.5846153846153846,explicit
prompt3,0.7592592592592593,explicit
prompt3,0.7480916030534351,explicit
prompt3,0.8103448275862069,explicit
prompt3,0.639344262295082,explicit
prompt3,0.7115384615384616,explicit
prompt3,0.6838235294117647,explicit
prompt3,0.8181818181818182,explicit
prompt3,0.7222222222222222,explicit
prompt3,0.7446808510638298,explicit
prompt3,0.6201550387596899,explicit
prompt3,0.8267716535433071,explicit
prompt3,0.7358490566037735,explicit
prompt3,0.8285714285714286,explicit
prompt3,0.7941176470588235,explicit
prompt3,0.725,explicit
prompt3,0.6831683168316832,explicit
prompt3,0.7076923076923077,explicit
prompt3,0.5957446808510638,explicit
prompt3,0.7849462365591398,explicit
prompt3,0.6346153846153846,explicit
prompt3,0.6891891891891891,explicit
prompt3,0.7727272727272727,explicit
prompt3,0.717948717948718,explicit
prompt3,0.7288135593220338,explicit
prompt3,0.631578947368421,explicit
prompt3,0.8518518518518519,explicit
prompt3,0.8115942028985508,explicit
prompt3,0.734375,explicit
prompt3,0.7213114754098361,explicit
prompt3,0.7717391304347826,explicit
prompt3,0.8269230769230769,explicit
prompt3,0.7454545454545455,explicit
prompt3,0.7391304347826086,explicit
prompt3,0.7424242424242424,explicit
prompt3,0.6923076923076923,explicit
prompt3,0.7058823529411765,explicit
prompt3,0.7241379310344828,explicit
prompt3,0.8333333333333334,explicit
prompt3,0.7368421052631579,explicit
prompt3,0.7608695652173914,explicit
prompt3,0.7867647058823529,explicit
prompt3,0.75,explicit
prompt3,0.7391304347826086,explicit
prompt3,0.75,explicit
prompt3,0.7075471698113207,explicit
prompt3,0.8,explicit
prompt3,0.6517857142857143,explicit
prompt3,0.9069767441860465,explicit
prompt3,0.775,explicit
prompt3,0.6510067114093959,explicit
prompt3,0.7627118644067796,explicit
prompt3,0.6532258064516129,explicit
prompt3,0.7843137254901961,explicit
prompt3,0.6590909090909091,explicit
prompt3,0.8064516129032258,explicit
prompt3,0.7808219178082192,explicit
prompt3,0.8225806451612904,explicit
prompt3,0.8271604938271605,explicit
prompt3,0.8653846153846154,explicit
prompt3,0.6727272727272727,explicit
prompt4,0.7291666666666666,explicit
prompt4,0.8205128205128205,explicit
prompt4,1.0,explicit
prompt4,0.8823529411764706,explicit
prompt4,0.684931506849315,explicit
prompt4,0.8157894736842105,explicit
prompt4,0.8928571428571429,explicit
prompt4,0.8478260869565217,explicit
prompt4,0.9523809523809523,explicit
prompt4,0.8023255813953488,explicit
prompt4,0.7628865979381443,explicit
prompt4,0.84375,explicit
prompt4,0.8571428571428571,explicit
prompt4,0.8490566037735849,explicit
prompt4,0.84375,explicit
prompt4,0.6956521739130435,explicit
prompt4,0.796875,explicit
prompt4,0.7741935483870968,explicit
prompt4,0.8444444444444444,explicit
prompt4,0.8243243243243243,explicit
prompt4,0.7564102564102564,explicit
prompt4,0.7272727272727273,explicit
prompt4,0.6494845360824743,explicit
prompt4,0.6282051282051282,explicit
prompt4,0.7407407407407407,explicit
prompt4,0.7628865979381443,explicit
prompt4,0.7281553398058253,explicit
prompt4,0.8333333333333334,explicit
prompt4,0.7129629629629629,explicit
prompt4,0.8235294117647058,explicit
prompt4,0.7278911564625851,explicit
prompt4,0.7833333333333333,explicit
prompt4,0.7821782178217822,explicit
prompt4,0.7833333333333333,explicit
prompt4,0.8571428571428571,explicit
prompt4,0.7361111111111112,explicit
prompt4,0.8292682926829268,explicit
prompt4,0.7301587301587301,explicit
prompt4,0.8513513513513513,explicit
prompt4,0.8048780487804879,explicit
prompt4,0.4222222222222222,explicit
prompt4,0.9464285714285714,explicit
prompt4,0.7777777777777778,explicit
prompt4,0.7445255474452555,explicit
prompt4,0.85,explicit
prompt4,0.7786259541984732,explicit
prompt4,0.8852459016393442,explicit
prompt4,0.9016393442622951,explicit
prompt4,0.8363636363636363,explicit
prompt4,0.8363636363636363,explicit
prompt4,0.7962962962962963,explicit
prompt4,0.9038461538461539,explicit
prompt4,0.8163265306122449,explicit
prompt4,0.9166666666666666,explicit
prompt4,0.8448275862068966,explicit
prompt4,0.8571428571428571,explicit
prompt4,0.8023255813953488,explicit
prompt4,0.8888888888888888,explicit
prompt4,0.8048780487804879,explicit
prompt4,0.7926829268292683,explicit
prompt4,0.782608695652174,explicit
prompt4,0.7411764705882353,explicit
prompt4,0.9230769230769231,explicit
prompt4,0.7711864406779662,explicit
prompt4,0.7564102564102564,explicit
prompt4,0.7606837606837606,explicit
prompt4,0.6363636363636364,explicit
prompt4,0.693069306930693,explicit
prompt4,0.75,explicit
prompt4,0.6296296296296297,explicit
prompt4,0.8157894736842105,explicit
prompt4,0.7133757961783439,explicit
prompt4,0.8717948717948718,explicit
prompt4,0.62,explicit
prompt4,0.71875,explicit
prompt4,0.6906474820143885,explicit
prompt4,0.76,explicit
prompt4,0.7583333333333333,explicit
prompt4,0.796875,explicit
prompt4,0.6699029126213593,explicit
prompt4,0.7916666666666666,explicit
prompt4,0.85,explicit
prompt4,0.8636363636363636,explicit
prompt4,0.84,explicit
prompt4,0.8059701492537313,explicit
prompt4,0.7894736842105263,explicit
