implicature_load,duration_sec_control_value,p_Backchannel,p_Clarification,p_Silence/Abandonment,p_Substantive,p_Backchannel_ci95_low,p_Clarification_ci95_low,p_Silence/Abandonment_ci95_low,p_Substantive_ci95_low,p_Backchannel_ci95_high,p_Clarification_ci95_high,p_Silence/Abandonment_ci95_high,p_Substantive_ci95_high
0.00125,21.48769860279438,0.08938212603079863,0.16988733087080787,0.12579197972985465,0.6149385633685395,0.08658024149185503,0.16740195035754776,0.12354541895614134,0.6113758638139624,0.09236622848379102,0.17252855717717797,0.12811387247650935,0.6183699577166044
0.3329262026720168,21.48769860279438,0.08690568876879405,0.16962734483044198,0.12483652156005237,0.6186304448407124,0.08437891706982306,0.16733588369865252,0.12277168953981273,0.6154136760525551,0.08959140705513007,0.17205455931530367,0.1269902134336522,0.6218095724437209
0.6646024053440336,21.48769860279438,0.08448969312780115,0.1693510948193959,0.12387616243787787,0.6222830496149243,0.08222220845993237,0.16723047666565222,0.12200929874704926,0.6193806727440748,0.0868961314511278,0.1715755203813759,0.12581676486460935,0.6251764482959162
0.9962786080160504,21.48769860279438,0.08213307682948096,0.16905897718828017,0.12291135772954426,0.6258965882526957,0.0802056230807636,0.16710616207387344,0.12123341839571578,0.6232264060996363,0.08419262894878529,0.17107706193370198,0.12465723023604398,0.6285126727894551
1.3279548106880672,21.48769860279438,0.07983477468254548,0.16875138608580179,0.12194255189205168,0.6294712873396002,0.07813643787480612,0.16698681078317662,0.12039454122664606,0.6270695534048507,0.08158445846236956,0.17055879308008354,0.12351102738843575,0.6318208174575912
1.659631013360084,21.48769860279438,0.07759371996899397,0.16842871312337823,0.12097017841193083,0.6330073884956964,0.07606512859748854,0.16684874391215054,0.11954964751690142,0.6308696013019572,0.07911492427693717,0.17010235141137894,0.12237079317889442,0.6350993382116856
1.9913072160321008,21.48769860279438,0.07540884576170816,0.16809134706097745,0.11999465976554895,0.6365051474117654,0.07409854558548556,0.16666486538772113,0.11871711350648619,0.6345484995737969,0.07669999431762788,0.1696171723408312,0.12124025990042098,0.6384040592592758
2.322983418704118,21.48769860279438,0.07327908617428378,0.16773967351365324,0.11901640739981635,0.6399648329122483,0.07214147263639512,0.16645292495034222,0.11788314103082655,0.6381714219827621,0.07439334919470575,0.16910335571810797,0.12015690453641016,0.6416801681141756
2.6546596213761346,21.48769860279438,0.07120337754412212,0.16737407467825138,0.11803582173213623,0.6433867260454915,0.07025457289578228,0.16615717411320094,0.11704133108328135,0.6417539540759081,0.07213937520572287,0.16862609365996076,0.11907434370804929,0.645004360800517
2.9863358240481515,21.48769860279438,0.06918065954996458,0.16699492907970792,0.11705329216846586,0.6467711192018619,0.06833489368703605,0.1658507806390314,0.11612809201565985,0.6452308477624139,0.07003812756572975,0.16816168731468764,0.11803128162340626,0.6483196761921444
