analysis_subset,condition,base_condition,representation_budget,future_horizon,category,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,news,5,0.5333333333333334,,,True,2,0.06666666666666667,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,news,5,0.5125,,,True,2,0.041666666666666664,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,news,5,0.5208333333333334,,,True,2,0.041666666666666664,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,5,news,5,0.5333333333333334,,,True,2,0.08333333333333334,,,True
full,raw_history_b256,raw_history,256,1,political,8,0.546875,,,True,2,0.09375,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,political,8,0.5494791666666667,,,True,2,0.09895833333333334,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,political,8,0.5390625,,,True,2,0.078125,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,political,8,0.5390625,,,True,2,0.078125,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,political,4,0.5833333333333334,,,True,1,0.16666666666666669,,,True
full,raw_history_b256,raw_history,256,1,religion,21,0.5357142857142858,,,True,5,0.07142857142857144,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,religion,21,0.5257936507936508,,,True,5,0.051587301587301584,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,religion,21,0.5178571428571429,,,True,5,0.03571428571428571,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,religion,21,0.5287698412698413,,,True,5,0.057539682539682536,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,religion,11,0.5340909090909091,,,True,4,0.06818181818181818,,,True
full,raw_history_b256,raw_history,256,3,religion,5,0.5041666666666667,,,True,2,0.008333333333333333,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,religion,5,0.5,,,True,2,0.0,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,religion,5,0.5,,,True,2,0.0,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,religion,3,0.5,,,True,2,0.0,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,religion,5,0.5,,,True,2,0.0,,,True
full,raw_history_b256,raw_history,256,1,sports,51,0.5812908496732025,,,True,3,0.1625816993464052,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,sports,50,0.5758333333333333,,,True,3,0.15333333333333335,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,sports,50,0.5533333333333333,,,True,3,0.11166666666666666,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,sports,42,0.5634920634920635,,,True,3,0.1388888888888889,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,sports,50,0.5754166666666667,,,True,3,0.1525,,,True
full,raw_history_b256,raw_history,256,3,sports,39,0.532051282051282,,,True,3,0.07051282051282051,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,sports,38,0.524671052631579,,,True,3,0.0493421052631579,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,sports,38,0.511513157894737,,,True,3,0.02521929824561403,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,sports,32,0.5201822916666667,,,True,3,0.045572916666666664,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,sports,38,0.5246710526315789,,,True,3,0.05811403508771929,,,True
full,raw_history_b256,raw_history,256,5,sports,31,0.5241935483870968,,,True,3,0.051075268817204304,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,sports,30,0.5222222222222223,,,True,3,0.044444444444444446,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,sports,30,0.5152777777777778,,,True,3,0.03055555555555555,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,sports,26,0.5136217948717948,,,True,3,0.02724358974358974,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,5,sports,30,0.5159722222222223,,,True,3,0.04861111111111111,,,True
assumption_eligible,raw_history_b256,raw_history,256,1,business,18,0.5902777777777777,,,True,5,0.18055555555555555,,,True
assumption_eligible,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,business,18,0.5925925925925926,,,True,5,0.18518518518518523,,,True
assumption_eligible,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,business,18,0.5636574074074073,,,True,5,0.12731481481481483,,,True
assumption_eligible,raw_history_explicit_b256,raw_history_explicit,256,1,business,18,0.5775462962962963,,,True,5,0.15509259259259262,,,True
