speaker_role,violation_type,total_turns_for_role,violation_count,violation_rate_per_turn,share_of_role_violations
guest,Manner,34124,26,0.0007619270894385184,0.28888888888888886
guest,Relation,34124,33,0.0009670613058258118,0.36666666666666664
guest,Quantity,34124,31,0.0009084515297151565,0.34444444444444444
host,Manner,35369,15,0.0004241002007407617,0.26785714285714285
host,Relation,35369,21,0.0005937402810370664,0.375
host,Quantity,35369,20,0.0005654669343210156,0.35714285714285715
