speaker_role,violation_type,n_violations,policed_next_count,repair_next_count,challenge_next_count,self_repair_next_count,policed_next_rate,repair_next_rate,challenge_next_rate,self_repair_next_rate
guest,Manner,26,8,6,2,0,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0
guest,Relation,33,5,4,1,0,0.15151515151515152,0.12121212121212122,0.030303030303030304,0.0
guest,Quantity,31,11,9,2,0,0.3548387096774194,0.2903225806451613,0.06451612903225806,0.0
host,Manner,15,2,2,0,0,0.13333333333333333,0.13333333333333333,0.0,0.0
host,Relation,21,5,4,1,0,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.0
host,Quantity,20,1,1,0,0,0.05,0.05,0.0,0.0
