speaker_role,violation_type,severity,predicted_policed_probability,predicted_policed_probability_ci95_low,predicted_policed_probability_ci95_high
guest,Manner,1,0.20370705007890846,0.13456907435031373,0.29620851147950694
guest,Relation,2,0.09124537274261026,0.03655739829262794,0.20991856602751627
guest,Quantity,3,0.26012045835323144,0.11743960913877281,0.48156282545987356
host,Manner,1,0.06562543812813215,0.024282349934348392,0.16542503003475392
host,Relation,2,0.10258923353614957,0.017950729929194647,0.4168906688702531
host,Quantity,3,0.0179505868271704,0.0019198853930800324,0.1479879796209043
