prompt_num,statement_type,count
1,explicit,1370
2,explicit,1471
3,explicit,1583
4,explicit,1182
5,explicit,1270
1,implicit,1289
2,implicit,1499
3,implicit,1787
4,implicit,1279
5,implicit,1086
