model_name,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
step_1_stance_only,Intercept,-0.0031347552777539226,0.00027626628467871376,-11.3468615303511,7.687267385830833e-30,-0.0036762272458668913,-0.002593283309640954
step_1_stance_only,agree_move,-0.024570783266631202,0.0009621306063523204,-25.537887584498776,7.485144219229207e-144,-0.026456524603505435,-0.02268504192975697
step_1_stance_only,disagree_move,0.037808435258313344,0.000987609610746813,38.282773726476066,0.0,0.03587275599046397,0.03974411452616272
step_2_lagged_stance,Intercept,-0.0023628152101058376,0.0002945181671973912,-8.022646726992015,1.0349066599903784e-15,-0.00294006021060547,-0.001785570209606205
step_2_lagged_stance,agree_move,-0.016401807869922864,0.0011080253363466856,-14.802737204549777,1.4064080408965098e-49,-0.018573497623120248,-0.01423011811672548
step_2_lagged_stance,disagree_move,0.030854119099295925,0.0010695312871159288,28.84826229113537,5.327671542377187e-183,0.028757876296209937,0.03295036190238192
step_2_lagged_stance,lag_agree_move,0.010376969397707082,0.0009585240005665545,10.82598807288453,2.5926751798427264e-27,0.008498296878279386,0.012255641917134779
step_2_lagged_stance,lag_disagree_move,-0.018038341373503394,0.0011585061193392409,-15.570346217758127,1.1577884369744918e-54,-0.02030897164327757,-0.01576771110372922
step_3_previous_outcome,Intercept,0.05199782679122618,0.0004528561950736826,114.82193984950521,0.0,0.05111024495870592,0.05288540862374644
step_3_previous_outcome,agree_move,-0.024488765823852836,0.0006729078086111001,-36.39245303810385,5.603836757747283e-290,-0.025807640893646365,-0.023169890754059307
step_3_previous_outcome,disagree_move,0.01639383440313019,0.0008410111455245592,19.4930049267123,1.2586825777890576e-84,0.014745482847305279,0.018042185958955098
step_3_previous_outcome,lag_agree_move,-0.00998084147122346,0.0007645178879181255,-13.055079062181916,5.944828558500288e-39,-0.011479268997079616,-0.008482413945367305
step_3_previous_outcome,lag_disagree_move,-0.00872738720766961,0.0007504910697351407,-11.628902141033649,2.938524825056462e-31,-0.010198322675069423,-0.0072564517402697966
step_3_previous_outcome,previous_log_density_per_second,-0.926740127408239,0.0036337479871813134,-255.03698403892568,0.0,-0.9338621425920093,-0.9196181122244687
step_4_timeline,Intercept,0.06426729397333784,0.0008184612285293755,78.52209943874112,0.0,0.06266313944267786,0.06587144850399783
step_4_timeline,agree_move,-0.023930800361955884,0.0006716172975145458,-35.631602179569526,4.54173235184217e-278,-0.025247146076478516,-0.022614454647433252
step_4_timeline,disagree_move,0.016756899547013333,0.0008420670651162036,19.89972086688952,4.0920101296716727e-88,0.01510647842681823,0.018407320667208436
step_4_timeline,lag_agree_move,-0.009509869123377026,0.0007632288417372418,-12.460049467903897,1.2329411677473312e-35,-0.01100577016514424,-0.008013968081609812
step_4_timeline,lag_disagree_move,-0.007678410000654304,0.0007485879976352205,-10.257190904623503,1.0985601455317046e-24,-0.009145615515278292,-0.006211204486030316
step_4_timeline,previous_log_density_per_second,-0.9303881267933339,0.0035476887339664026,-262.2519044259944,0.0,-0.9373414689402666,-0.9234347846464013
step_4_timeline,timeline_position,-0.06946785212307598,0.0030124709018077146,-23.060090665569554,1.1650902697913472e-117,-0.075372186595094,-0.06356351765105796
step_4_timeline,I(timeline_position ** 2),0.0668670588427825,0.002683523242937025,24.917637295959764,4.791589255512184e-137,0.06160744993494981,0.0721266677506152
per_second,Intercept,0.06309513320778445,0.0008244024279819073,76.53438547268466,0.0,0.06147933414017254,0.06471093227539637
per_second,C(category)[T.commentary],0.010090819259918005,0.0012910097036230607,7.816222629155579,5.443206938005131e-15,0.007560486737125076,0.012621151782710933
per_second,C(category)[T.news],0.010082355529498524,0.005525874671620902,1.8245718784174074,0.06806566033047079,-0.0007481598099605413,0.02091287086895759
per_second,C(category)[T.political],-0.003138793929039623,0.000697078603561588,-4.502783348968916,6.706924604928828e-06,-0.0045050428864138094,-0.001772544971665436
per_second,C(category)[T.religion],0.0030694368830055823,0.0009252292182085229,3.31748805874158,0.0009083079821733898,0.0012560209378727266,0.004882852828138438
per_second,C(category)[T.sports],0.004363903781904316,0.0016504758611565772,2.64402763142885,0.008192596797112763,0.0011290305366846941,0.007598777027123938
per_second,agree_move,-0.02343361176898337,0.0006764824118760367,-34.64038585126956,6.234324824687777e-263,-0.024759492932435193,-0.022107730605531548
per_second,disagree_move,0.017269497060839377,0.0008506214151550494,20.302212891843936,1.2292281892972538e-91,0.015602309722656986,0.018936684399021766
per_second,lag_agree_move,-0.009032358879442455,0.0007624317902101932,-11.846776322052813,2.2362909180034674e-32,-0.010526697728922832,-0.007538020029962078
per_second,lag_disagree_move,-0.0070548335237915465,0.0007498654202454683,-9.408132890675434,5.050279953738625e-21,-0.008524542740724656,-0.005585124306858437
per_second,previous_log_density_per_second,-0.9323187212561508,0.0035415393958966976,-263.25239310802385,0.0,-0.939260010921938,-0.9253774315903636
per_second,timeline_position,-0.06960374936216895,0.0030113213915898907,-23.11402215537684,3.3465735182831504e-118,-0.07550583083556017,-0.06370166788877774
per_second,I(timeline_position ** 2),0.06701718880382489,0.002687386226292718,24.937684114082817,2.904729382397085e-137,0.061750008587742156,0.07228436901990762
per_second_duration_adjusted,Intercept,0.18955926831786257,0.0014418313438974153,131.47118012115396,0.0,0.18673333081204266,0.1923852058236825
per_second_duration_adjusted,C(category)[T.commentary],0.003216902132629494,0.0007909760698921639,4.0670031055023745,4.762160868551637e-05,0.001666617523007816,0.004767186742251172
per_second_duration_adjusted,C(category)[T.news],0.0051574365129015125,0.0036446415516431475,1.415073729425144,0.15704687977086967,-0.0019859296648772357,0.01230080269068026
per_second_duration_adjusted,C(category)[T.political],0.0022005106500828688,0.0004020888193870746,5.472697931360599,4.432352659790026e-08,0.0014124310454979717,0.0029885902546677658
per_second_duration_adjusted,C(category)[T.religion],0.0045122427401930966,0.0006246189631877113,7.223992555661605,5.048302241884933e-13,0.0032880120682844327,0.0057364734121017604
per_second_duration_adjusted,C(category)[T.sports],0.0008895957730247264,0.001010886721634971,0.8800152915115226,0.37885102577006846,-0.001091705793829584,0.002870897339879037
per_second_duration_adjusted,agree_move,0.0026227507051150845,0.0005323877234057445,4.926392157086289,8.376180742196404e-07,0.0015792899414285532,0.0036662114688016155
per_second_duration_adjusted,disagree_move,-0.008865328231248568,0.0007223813287083741,-12.272366240555904,1.2747273223235057e-34,-0.010281169618621171,-0.007449486843875964
per_second_duration_adjusted,lag_agree_move,-0.004952521034293653,0.0006317544200475484,-7.8393136274707915,4.530157851991464e-15,-0.006190736944660836,-0.0037143051239264687
per_second_duration_adjusted,lag_disagree_move,0.00531140570910032,0.000602957266008935,8.808925621308646,1.2635098517561328e-18,0.0041296311835060705,0.00649318023469457
per_second_duration_adjusted,previous_log_density_per_second,-0.9832876848827025,0.0023502065975161057,-418.3835097399194,0.0,-0.9878940051700624,-0.9786813645953425
per_second_duration_adjusted,timeline_position,0.014939218880408127,0.002502949532748256,5.96864566582162,2.392310101795739e-09,0.010033527941100188,0.019844909819716067
per_second_duration_adjusted,I(timeline_position ** 2),-0.012972223088106645,0.0022658540434616153,-5.725092101823372,1.0337764160835765e-08,-0.017413215407515864,-0.008531230768697426
per_second_duration_adjusted,log_duration,-0.044042088220574524,0.00040393964949653996,-109.03135722246493,0.0,-0.044833795385515476,-0.04325038105563357
per_second_timing_adjusted,Intercept,0.18903783423920528,0.0014354969979423458,131.688073545381,0.0,0.1862243118233229,0.19185135665508765
per_second_timing_adjusted,C(category)[T.commentary],0.0031959564925604536,0.0007884123890146127,4.053660923003607,5.04222862857636e-05,0.0016506966051266301,0.004741216379994277
per_second_timing_adjusted,C(category)[T.news],0.005245755842576002,0.003635889273481957,1.4427710658945165,0.14908497241124907,-0.0018804561852241363,0.01237196787037614
per_second_timing_adjusted,C(category)[T.political],0.002795382868178888,0.00041574679691828406,6.723762850128047,1.7709057572428883e-11,0.0019805341195311636,0.0036102316168266126
per_second_timing_adjusted,C(category)[T.religion],0.0042977783419842095,0.0006254335297595576,6.871678823545729,6.3450685823984804e-12,0.0030719511489317166,0.0055236055350367025
per_second_timing_adjusted,C(category)[T.sports],0.000989967138472091,0.0010031946412390937,0.9868146197923617,0.323733526283715,-0.0009762582278401133,0.0029561925047842954
per_second_timing_adjusted,agree_move,0.002581133493550213,0.0005322623141416591,4.8493636031937,1.2385820203474848e-06,0.001537918527504617,0.0036243484595958092
per_second_timing_adjusted,disagree_move,-0.008714172175969951,0.000725760160364955,-12.006958568224455,3.26638309883573e-33,-0.010136635951699276,-0.007291708400240625
per_second_timing_adjusted,lag_agree_move,-0.005064055874299846,0.0006333373466426532,-7.995827028272705,1.2870696857027168e-15,-0.006305374263783605,-0.003822737484816086
per_second_timing_adjusted,lag_disagree_move,0.005470455576027146,0.0006018286970467175,9.089722046940704,9.929256767981466e-20,0.004290893004952913,0.006650018147101379
per_second_timing_adjusted,previous_log_density_per_second,-0.9831259636593747,0.002350145260404314,-418.3256159622404,0.0,-0.9877321637282046,-0.9785197635905447
per_second_timing_adjusted,timeline_position,0.01335193564077257,0.0025147354963133313,5.3094791322375094,1.0993896992957259e-07,0.008423144637353983,0.018280726644191156
per_second_timing_adjusted,I(timeline_position ** 2),-0.011607498864967238,0.002273762039288266,-5.104975219218904,3.3083786664470473e-07,-0.016063990571386588,-0.007151007158547888
per_second_timing_adjusted,log_duration,-0.04410808020856857,0.00040498346719844555,-108.91328605015676,0.0,-0.044901833218611686,-0.04331432719852546
per_second_timing_adjusted,log_gap,0.0007606022639228337,0.0001223043876478133,6.218928679100685,5.005607513231851e-10,0.0005208900689818942,0.0010003144588637731
per_second_timing_adjusted,overlap,0.000198304187387804,0.0008330820375479843,0.23803680604070399,0.8118525474194384,-0.0014345066023734904,0.0018311149771490982
per_second_timing_previous_duration,Intercept,0.19486652179302544,0.0015515735122022792,125.59283866378651,0.0,0.19182549358974266,0.19790754999630822
per_second_timing_previous_duration,C(category)[T.commentary],0.002975306950738747,0.0007941026684178385,3.7467534980920236,0.00017913796422734318,0.0014188943206126308,0.004531719580864863
per_second_timing_previous_duration,C(category)[T.news],0.005160752129568425,0.003641962248471655,1.4170251577248303,0.15647557224530756,-0.0019773627104905343,0.012298866969627384
per_second_timing_previous_duration,C(category)[T.political],0.00310853383987492,0.00041934838240647064,7.4127717437141465,1.236866666009801e-13,0.0022866261133831075,0.003930441566366733
per_second_timing_previous_duration,C(category)[T.religion],0.004325180671527745,0.0006337745730100749,6.824478064788171,8.824555588805023e-12,0.0030830053341107475,0.005567356008944743
per_second_timing_previous_duration,C(category)[T.sports],0.0009069326813174222,0.00101410967286133,0.8943142005129427,0.37115380418416055,-0.0010806857538644809,0.0028945511164993254
per_second_timing_previous_duration,agree_move,0.002498365136471836,0.0005314973467607617,4.700616384443407,2.5937737494653802e-06,0.0014566494789421465,0.0035400807940015253
per_second_timing_previous_duration,disagree_move,-0.008181133269658778,0.0007260063886833385,-11.268679445777074,1.8735878795529207e-29,-0.00960407964402411,-0.006758186895293446
per_second_timing_previous_duration,lag_agree_move,-0.004303405230039856,0.0006352703244475392,-6.7741323093949,1.2515509808532643e-11,-0.005548512186404108,-0.003058298273675604
per_second_timing_previous_duration,lag_disagree_move,0.004405743546533845,0.0006146665488519001,7.167696948472432,7.626990160687428e-13,0.0032010192482825914,0.005610467844785099
per_second_timing_previous_duration,previous_log_density_per_second,-0.9960209380949702,0.002629401168803305,-378.8014358220887,0.0,-1.0011744696867322,-0.9908674065032081
per_second_timing_previous_duration,timeline_position,0.015451429385940747,0.0025519026494111936,6.054866312986466,1.4053432684031652e-09,0.010449792101042464,0.02045306667083903
per_second_timing_previous_duration,I(timeline_position ** 2),-0.013215453524438564,0.0023020771357510662,-5.740664949581259,9.430551190321194e-09,-0.017727441800143778,-0.00870346524873335
per_second_timing_previous_duration,log_duration,-0.043975641343218956,0.0004023387705614718,-109.30003410272907,0.0,-0.044764210843103565,-0.04318707184333435
per_second_timing_previous_duration,log_gap,0.0008641532549016848,0.0001219901426064866,7.083795759541436,1.4025858041537167e-12,0.0006250569689240659,0.0011032495408793037
per_second_timing_previous_duration,overlap,0.0005648135862416079,0.0008337114209665519,0.6774689323396806,0.49810847529511126,-0.0010692307723525454,0.002198857944835761
per_second_timing_previous_duration,previous_log_duration,-0.0019639657598668372,0.00017676603354262223,-11.110538153209628,1.1148559502530137e-28,-0.002310420819300376,-0.0016175107004332986
