duration_bin,observation_count,duration_min_seconds,duration_median_seconds,duration_max_seconds,iceberg_ratio_q25,iceberg_ratio_median,iceberg_ratio_q75,iceberg_ratio_mean
1,12079,0.009999999999763531,1.3200429184551012,2.370351758794186,0.0,0.4,0.5,0.3194543509677213
2,12057,2.3718556701032867,3.4287604290822173,4.510000000000446,0.4,0.5,0.6,0.47391993011550115
3,12057,4.5113646532437315,5.529999999999973,6.578013888889018,0.4,0.6,0.6666666666666666,0.5608443946090127
4,12074,6.578982898289837,7.639999999999986,8.700011494252877,0.5,0.6,0.8,0.6249952852073111
5,12056,8.701804511278624,9.830000000000041,10.994236176194931,0.6,0.6666666666666666,0.8333333333333334,0.6832085728361442
6,12070,10.994641350210713,12.200000000000045,13.460446406052966,0.6,0.7142857142857143,0.8333333333333334,0.7324445185671367
7,12063,13.460979515828967,14.759999999999991,16.13000000000011,0.6666666666666666,0.8,0.8333333333333334,0.7764052307635994
8,12065,16.13066100094437,17.57000000000005,19.060497777777755,0.6666666666666666,0.8333333333333334,0.9090909090909091,0.811506088652794
9,12069,19.06050686878251,20.68999999999994,22.34026400197365,0.7272727272727273,0.8333333333333334,1.0,0.848176738563266
10,12054,22.341320754717344,24.15000000000009,26.069462953754282,0.8333333333333334,0.8571428571428571,1.0,0.8753115010830292
11,12085,26.069999999999823,28.120000000000005,30.28029673093056,0.8333333333333334,0.8888888888888888,1.0,0.9017003297350835
12,12048,30.280508012274083,32.60326410777836,35.100000000000136,0.8333333333333334,0.9090909090909091,1.0,0.9231107885677109
13,12061,35.1007293447293,37.86999999999989,40.86000000000013,0.8571428571428571,0.9090909090909091,1.0,0.9350044261535846
14,12061,40.860984296130255,44.20999999999998,47.82600000000002,0.8888888888888888,0.9090909090909091,1.0,0.9448621952166435
15,12064,47.828520614389646,51.871546229802334,56.363166579361405,0.9090909090909091,0.9090909090909091,1.0,0.94748550659111
16,12064,56.36500000000001,61.42100000000001,67.21600000000001,0.9090909090909091,0.9090909090909091,1.0,0.9429292749874646
17,12064,67.21999999999991,73.97010038129329,81.92699999999991,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.932213407401985
18,12065,81.929,91.69999999999982,103.94000000000005,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9180103473907866
19,12063,103.94199999999995,120.59499999999991,147.273,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9103351823321979
20,12065,147.27999999999997,197.49000000000012,4372.535852240358,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8960626841501272
