model_name,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
per_second,Intercept,0.06181991393652681,0.0008136548397454572,75.97805717700453,0.0,0.06022517975477901,0.06341464811827462
per_second,C(category)[T.commentary],0.010054980592597006,0.0012927847543805512,7.777768540761401,7.381496218906432e-15,0.007521169034248666,0.012588792150945346
per_second,C(category)[T.news],0.010121568574786653,0.005547416626428317,1.8245553302354698,0.06806815952556408,-0.000751168220251534,0.020994305369824842
per_second,C(category)[T.political],-0.0036430856818193734,0.000697121052976113,-5.225901106079785,1.733089767773642e-07,-0.0050094178385171936,-0.0022767535251215533
per_second,C(category)[T.religion],0.003156514693475473,0.0009260132892145514,3.408714248747815,0.0006526980958025953,0.001341561997409479,0.004971467389541467
per_second,C(category)[T.sports],0.004227853056833514,0.001653589749351513,2.5567726568766815,0.010564823918058259,0.0009868767028999334,0.007468829410767094
per_second,agree_move,-0.0249413552209146,0.0006758412797708658,-36.90416073633532,3.962873189415309e-298,-0.026265979788530958,-0.023616730653298244
per_second,disagree_move,0.015101926654079263,0.0008220492369246682,18.37107313739066,2.2393996929345955e-75,0.01349073975618828,0.016713113551970245
per_second,lag_delta_stance,-0.0008638808458308868,0.00047438620834999067,-1.8210496650727594,0.06859930764188896,-0.0017936607289593827,6.589903729760913e-05
per_second,previous_log_density_per_second,-0.9320130244884755,0.0035445263382769426,-262.944307797567,0.0,-0.9389601684537519,-0.925065880523199
per_second,timeline_position,-0.0720393370788386,0.0030142090060828837,-23.899914350152294,3.0690234966150595e-126,-0.07794707817263732,-0.06613159598503987
per_second,I(timeline_position ** 2),0.06884537532065323,0.0026898614986193424,25.594394118801404,1.7613186677101946e-144,0.06357334365995838,0.07411740698134807
token_normalized,Intercept,0.0171087923837952,0.00018237851950083414,93.80925138893318,0.0,0.016751337054019832,0.01746624771357057
token_normalized,C(category)[T.commentary],0.001936555950002133,0.00024281575682975944,7.975413026263661,1.5187207344174097e-15,0.0014606458117369689,0.002412466088267297
token_normalized,C(category)[T.news],0.0021284472925167555,0.0008879732117961863,2.3969724134034927,0.016531168254750976,0.00038805177815987284,0.003868842806873638
token_normalized,C(category)[T.political],-0.0002903279056771324,0.0001426851774693706,-2.034744679344534,0.041876570029526605,-0.0005699857146448048,-1.0670096709460052e-05
token_normalized,C(category)[T.religion],0.0009143999017444842,0.0001985424068047317,4.605564707613346,4.113480474355574e-06,0.0005252639350033099,0.0013035358684856586
token_normalized,C(category)[T.sports],0.0004852875064808249,0.0003451283110281913,1.4061074996573806,0.15969220573037002,-0.0001911515531795681,0.0011617265661412178
token_normalized,agree_move,-0.006401449831172486,0.0001395079578513916,-45.885911669580295,0.0,-0.006674880404117945,-0.006128019258227027
token_normalized,disagree_move,0.004859874553032694,0.00016604170977788698,29.268998491606236,2.5737834547883052e-188,0.004534438781936584,0.005185310324128805
token_normalized,lag_delta_stance,3.1625266191561174e-06,9.339162925786421e-05,0.033863062934945114,0.9729863477921735,-0.00017988170318377492,0.00018620675642208717
token_normalized,previous_log_density_per_token,-0.9273144434139443,0.0037843667790307743,-245.03820521631405,0.0,-0.9347316660051345,-0.9198972208227542
token_normalized,timeline_position,-0.026021487456846716,0.0006546129119343146,-39.75095355200964,0.0,-0.02730450518805286,-0.02473846972564057
token_normalized,I(timeline_position ** 2),0.02510152405666194,0.0005872424880345444,42.74473419093842,0.0,0.02395054992992254,0.02625249818340134
token_timing_adjusted,Intercept,0.04564080300316392,0.0002424739737820568,188.2296985992703,0.0,0.04516556274736278,0.04611604325896506
token_timing_adjusted,C(category)[T.commentary],0.0005018813981452194,0.00014641612807170503,3.4277740079250747,0.0006085518255560699,0.00021491106036887356,0.0007888517359215653
token_timing_adjusted,C(category)[T.news],0.0009030439835866475,0.00043355791904172965,2.0828681565374203,0.037263242896750065,5.328607705272492e-05,0.0017528018901205701
token_timing_adjusted,C(category)[T.political],9.613115768694963e-05,7.87766516292626e-05,1.220300123180667,0.2223511231328077,-5.826824232906363e-05,0.0002505305577029629
token_timing_adjusted,C(category)[T.religion],0.0015711256370947873,0.00012505579038695662,12.563397762177164,3.3560492316391934e-36,0.001326020791878162,0.0018162304823114127
token_timing_adjusted,C(category)[T.sports],-0.0004133668090487049,0.00018205688019331978,-2.2705365960888995,0.023175045478614393,-0.0007701917373653352,-5.654188073207463e-05
token_timing_adjusted,agree_move,-0.0004109498735653745,0.00010118392364577596,-4.061414686823425,4.877624279613245e-05,-0.0006092667197255461,-0.00021263302740520289
token_timing_adjusted,disagree_move,-0.0005631983459787498,0.00013429889537302315,-4.193618602851743,2.745394297452176e-05,-0.0008264193440733881,-0.0002999773478841115
token_timing_adjusted,lag_delta_stance,-0.0007745579617684264,7.251003262776072e-05,-10.682079895684453,1.2347376586673444e-26,-0.0009166750142366617,-0.0006324409093001912
token_timing_adjusted,previous_log_density_per_token,-0.9800002768438445,0.0024798696957238674,-395.18216563301525,0.0,-0.9848607321338155,-0.9751398215538735
