model_name,response_variable,transition_count,episode_count,r_squared,adjusted_r_squared,aic,bic,aic_bic_comparison_group,aic_bic_comparable_to_other_models
step_1_stance_only,delta_log_density_per_second,241284,14588,0.013589972799367023,0.013581796357565179,-330443.9805075384,-330412.79931771266,exp2_per_second_outcome,True
step_2_lagged_stance,delta_log_density_per_second,241284,14588,0.015596148675789179,0.015579828915655458,-330931.2073175751,-330879.2386678655,exp2_per_second_outcome,True
step_3_previous_outcome,delta_log_density_per_second,241284,14588,0.49183769108629083,0.491827160447175,-490474.7123394401,-490412.34995978867,exp2_per_second_outcome,True
step_4_timeline,delta_log_density_per_second,241284,14588,0.4933779293464875,0.4933632310155529,-491203.15391271724,-491120.00407318195,exp2_per_second_outcome,True
per_second,delta_log_density_per_second,241284,14588,0.4942404618191806,0.4942153070576959,-491604.29400787596,-491469.17551863106,exp2_per_second_outcome,True
per_second_duration_adjusted,delta_log_density_per_second,241284,14588,0.64757192617822,0.6475529368096301,-578757.6409398408,-578612.1287206541,exp2_per_second_outcome,True
per_second_timing_adjusted,delta_log_density_per_second,241284,14588,0.6476294594398722,0.647607552025261,-578793.0333428679,-578626.7336637973,exp2_per_second_outcome,True
per_second_timing_previous_duration,delta_log_density_per_second,241284,14588,0.6478526999152998,0.647829346714069,-578943.9446066238,-578767.2511976113,exp2_per_second_outcome,True
