episode_id,n_substantive,pearson_corr,granger_min_p
42061,14,0.11602642162136333,
42088,44,0.05615034827476921,0.2324094328238679
42106,22,-0.12087625883485544,0.2530956002922877
42124,31,-0.32106199962935084,
42132,27,0.6426627980668805,
42149,17,0.5824121742275296,
42153,20,0.2652099502973139,
42188,38,-0.2241453360604818,0.45786706803199095
42219,23,0.6284581671012183,
42246,33,0.4960015171076666,
42412,11,-0.13724344937934915,0.649651923115331
42501,27,-0.27582905055634993,
42503,93,-0.10945211328888964,0.8289188926542739
42562,30,0.02569078554149204,0.4202263972874888
42575,55,-0.6657077140633314,0.8680405907301979
42576,47,0.13486214509535635,
42579,73,0.1932317273391557,
42597,57,-0.004039578641943586,0.545746486683754
42598,69,-0.08132357436323416,
42622,23,0.6047522856735742,
42626,52,0.1996866599498471,0.5619131221793083
42645,21,0.5908951855091159,6.672189007115433e-06
42653,16,-0.15718259130345785,0.47421712058448806
43155,24,0.43466780389871584,
43208,85,0.15703248910335,0.40916791566145516
43211,35,0.5187616254237339,0.5174302774023549
43219,14,0.685337247965156,
43233,24,-0.15748781155653419,
43271,32,0.16229696454008744,0.30163640023557725
43278,24,0.2288111608421026,0.4822241286780533
43291,49,0.0067541926695882755,0.5177805941241713
43310,46,-0.03928185474821393,
43399,18,-0.05202802715512834,0.5737077108729953
43400,22,-0.36057917321105915,0.43264922458707333
43409,38,-0.26506755302191143,0.8501033659042929
43431,42,0.16629277508253706,0.45652957359726254
43445,19,-0.647867910056417,
43446,16,-0.4348181816681779,
43452,19,0.3338902311090986,0.007576309135159578
43478,34,0.4660455346998402,0.44625594359764165
43479,54,-0.1191420903503406,0.4735654318632099
43480,41,0.09628307608834702,
43481,31,0.6002748784432271,
43519,32,0.2121915718790093,
43527,12,0.06393043300328649,
43543,34,0.12002580450383521,0.5260793588114072
43623,16,-0.19819699917625605,0.02532433118004525
43629,43,0.456968262960538,0.6512968405096691
43632,38,0.18769726079538812,
43643,23,0.49329418608984893,0.9168527495409987
43651,23,0.08482285623856974,
43662,57,-0.2034974432546863,0.5029484754310134
43670,78,0.33339460803553045,0.6959876294625409
43694,53,-0.1137042664097765,0.7585383080492846
43700,23,0.18216614548010654,
43768,68,-0.28564621911771887,0.8460606428794528
