class,reference_class,posterior_mean_intercept,posterior_mean_coef_scaled_load,posterior_sd_intercept,posterior_sd_coef_scaled_load,map_intercept,map_coef_scaled_load,scaler_mean,scaler_std
Backchannel,Substantive,-2.395955548080335,-0.6052127158387794,0.007406275167799376,0.006654303842231025,-2.395806764417773,-0.6054387234734209,7.2002841499808445,18.565248435339484
Clarification,Substantive,-1.3214056855568797,0.2104904273330789,0.02419756585513523,0.004716768313164624,-1.3211106816238085,0.21067002403472596,7.2002841499808445,18.565248435339484
Silence/Abandonment,Substantive,-1.6365648686490808,0.44852209584620273,0.004146923904849318,0.005708812842698155,-1.6365800352923965,0.4483614058022104,7.2002841499808445,18.565248435339484
Substantive,Substantive,0.0,0.0,0.0,0.0,0.0,0.0,7.2002841499808445,18.565248435339484
