implicature_load,p_Backchannel,p_Clarification,p_Silence/Abandonment,p_Substantive
0.160000000000025,0.36067642837071556,0.1670531225184566,0.20482428222512306,0.2674461668857048
0.26204427413129905,0.35828958111705156,0.16838290174025106,0.20584491561002197,0.26748260153267545
0.3640885482625731,0.3559073283526464,0.16971792501419858,0.20686412445406452,0.26751062217909055
0.4661328223938471,0.3535297882282563,0.17105814919704812,0.20788183695768048,0.2675302256170152
0.5681770965251212,0.35115707819969644,0.17240353055848304,0.20889798141204446,0.267541409829776
0.6702213706563952,0.3487893150034135,0.17375402478985147,0.20991248621447967,0.26754417399225544
0.7722656447876692,0.34642661463230734,0.17510958701307372,0.21092527988382728,0.26753851847079163
0.8743099189189433,0.3440690923118156,0.17647017178972466,0.21193629107577666,0.26752444482268306
0.9763541930502173,0.34171686247626665,0.1778357331302853,0.2129454485981479,0.2675019557953002
1.0783984671814912,0.3393700387455166,0.17920622450355994,0.21395268142612053,0.2674710553248029
1.1804427413127654,0.3370287339018773,0.18058159884625472,0.21495791871740152,0.26743174853446644
1.2824870154440395,0.33469305986734654,0.1819618085727125,0.21596108982732565,0.26738404173261543
1.3845312895753135,0.3323631276811498,0.18334680558479988,0.21696212432388146,0.26732794241016883
1.4865755637065874,0.3300390474776048,0.18473654128194184,0.21796095200265642,0.2672634592377969
1.5886198378378615,0.32772092846431566,0.1861309665712988,0.21895750290169405,0.2671906020626914
1.6906641119691357,0.3254088789007082,0.18753003187808157,0.2199517073162573,0.267109381904953
1.7927083861004096,0.32310300607691433,0.1889336871559996,0.22094349581349063,0.26701981095359556
1.8947526602316835,0.3208034162930145,0.19034188189783688,0.22193279924697562,0.2669219025621729
1.9967969343629577,0.31851021483864683,0.19175456514615138,0.22291954877117287,0.26681567124402883
2.098841208494232,0.3162235059729911,0.19317168550409167,0.22390367585574378,0.26670113266717344
2.2008854826255058,0.31394339290513534,0.1945931911463273,0.22488511229974695,0.26657830364879037
