term,posterior_mean,posterior_sd
Intercept,0.29698275517824163,0.0034434582222398137
implicature_load,0.003361042558134634,0.00013749434146677157
log1p(average_response_time_0_to_n_minus_1),0.5826496036570912,0.0017398979700635072
