category,pair_count,mean_sim_claim,mean_sim_context,mean_bridge_delta,positive_bridge_rate,assumption_pair_rate
business,173617,0.31774901873979705,0.3315351700240045,0.013786151284207421,0.5839520323470628,0.9994528185603945
religion,66747,0.3239779749065308,0.3374847094371127,0.013506734530581873,0.5861686667565583,0.999071119301242
political,59724,0.32316396699340594,0.3362042496563317,0.013040282662925815,0.5820440693858415,0.9995981514968857
commentary,37258,0.304136668509928,0.3121930705443724,0.008056402034444429,0.5483386118417521,0.9987116860808417
news,3477,0.3117145354519894,0.3181939532871575,0.006479417835168063,0.54414725337935,0.999712395743457
sports,14645,0.33634108935577234,0.3427920726918386,0.006450983336066255,0.5427791054967566,0.99931717309662
