trigger_type,n_cascades,n_events,mu,alpha,beta,branching_ratio,log_likelihood,fit_status
under_info,54,45,0.008745657122125087,0.023665517808749266,0.08143392078332809,0.29061007478341006,-241.16608635431757,ok
over_info,2078,2042,0.0070636890914654174,0.3882392071617531,403.4287934927351,0.0009623487798194167,-12147.949281600999,ok
