category,n_candidate_turns,under_assumption_threshold,under_duration_threshold,over_assumption_threshold,over_duration_threshold,under_trigger_count,over_trigger_count
business,185911,10.0,9.939607843137255,5.0,52.24,26,1351
commentary,40260,8.0,7.169999999999999,4.0,43.011664262718796,10,28
news,3730,8.0,8.212867346938776,4.0,46.95086108541474,0,2
political,62989,10.0,11.945999999999998,5.0,64.618,3,439
religion,77328,10.0,8.68,5.0,66.73,15,154
sports,15435,10.0,8.48,5.0,45.332295266716756,0,104
