turn_b_move_label,pair_count,cluster_count,ci_unstable,mean_bridge_lift,mean_bridge_lift_ci95_low,mean_bridge_lift_ci95_high,mean_bridge_lift_ci_unstable,mean_win_rate_claim,mean_win_rate_claim_ci95_low,mean_win_rate_claim_ci95_high,mean_win_rate_claim_ci_unstable,mean_win_rate_random_context,mean_win_rate_random_context_ci95_low,mean_win_rate_random_context_ci95_high,mean_win_rate_random_context_ci_unstable,mean_win_rate_context,mean_win_rate_context_ci95_low,mean_win_rate_context_ci95_high,mean_win_rate_context_ci_unstable,mean_bridge_advantage_over_random,mean_bridge_advantage_over_random_ci95_low,mean_bridge_advantage_over_random_ci95_high,mean_bridge_advantage_over_random_ci_unstable,mean_selected_assumption_count,mean_selected_assumption_count_ci95_low,mean_selected_assumption_count_ci95_high,mean_selected_assumption_count_ci_unstable,full_bag_valid_pair_count,mean_win_rate_full_bag_context,mean_win_rate_full_bag_context_ci95_low,mean_win_rate_full_bag_context_ci95_high,mean_win_rate_full_bag_context_ci_unstable,legacy_mean_sim_claim_raw,legacy_mean_sim_context_raw,legacy_mean_sim_unrelated_only_raw,legacy_mean_bridge_delta_raw
Assert / Elaborate,62355,13024,False,0.012101742709753291,0.011559162448712848,0.012637379389696935,False,0.92996518589795,0.9286975662776132,0.9312080658183981,False,0.9214277122925186,0.9200498186579267,0.9228103928682814,False,0.9420669286077032,0.9410594990422373,0.943151682779318,False,0.020639216315184557,0.019861879965090676,0.0214237687640714,False,0.24264293160131506,0.236489411990019,0.24847285112363263,False,62355,0.8438818057894315,0.8420510830169812,0.845595037547045,False,0.8262669593112507,0.8365837433670624,0.7152711295754628,0.010316784055811688
Clarification Request (Specific),17527,7426,False,0.023202297407808898,0.022011148013416866,0.02432815631196085,False,0.8316335748654456,0.8279769101095897,0.8349007788913396,False,0.818223312603412,0.8147238387006198,0.8220375697197682,False,0.8548358722732546,0.8517695478734196,0.8576919597789391,False,0.03661255966984271,0.034880291330949095,0.03832512357758893,False,0.3536828892565756,0.34216158955466747,0.36522664217692724,False,17527,0.7356364466252069,0.7312983487049398,0.7399896531167196,False,0.797205900412397,0.8213903168229632,0.7074439151761686,0.02418441641056617
Clarification Request (Generic),2952,2349,False,0.020184056007226735,0.01732716895584895,0.023268672910801022,False,0.6725948509485095,0.6619507677298304,0.6833861511372384,False,0.6675982384823849,0.656976991605157,0.6781873418778753,False,0.6927789069557363,0.6821876289196132,0.702781815475625,False,0.025180668473351393,0.021704942742036184,0.02892126199704757,False,0.22594850948509485,0.2063467792825591,0.247057865154888,False,2952,0.5940464092140921,0.5834582783595542,0.6061554164095914,False,0.7524544119249353,0.7692713109034348,0.7151614923868076,0.01681689897849952
Answer,4048,3141,False,0.01496623847167325,0.0130017487748323,0.017094050024195947,False,0.8501420454545454,0.8434938786324924,0.8567981636392308,False,0.8428544960474308,0.835686545117397,0.8502874295305596,False,0.8651082839262187,0.8585535239237403,0.8712230830276232,False,0.022253787878787873,0.019478319796632212,0.02518562509270672,False,0.22356719367588934,0.20898127802717775,0.2396764073312587,False,4048,0.7610857213438735,0.75194861743042,0.7698714430308597,False,0.7911672904100931,0.8143303944055624,0.7236978230563548,0.023163103995469225
Topic Shift,3819,2970,False,0.03599327921794536,0.032828844670311115,0.039330961132081725,False,0.7226149951994414,0.7123867848363814,0.7321856459454752,False,0.7118028279654359,0.7014785868479094,0.7220803237776132,False,0.7586082744173868,0.7476910969176768,0.7682427724296885,False,0.04680544645195076,0.04264508123942559,0.05098450894881854,False,0.37077769049489395,0.348743499738217,0.3928252760199089,False,3819,0.592536222396788,0.5820317456182221,0.6031672552976073,False,0.7490504378968429,0.7839351232356506,0.7114692593032885,0.034884685338807654
Agree / Align,10457,5760,False,0.01797838768289184,0.016671382574699113,0.019259282472718086,False,0.8408362819164196,0.8362349110863851,0.8451564495534067,False,0.8328472155812692,0.8283192165034208,0.8372621278602929,False,0.8588146695993115,0.8543596617485125,0.8628743229832789,False,0.025967454018042138,0.024268645617613993,0.027783631434220246,False,0.27091900162570526,0.2596615366163084,0.2834874454660316,False,10457,0.74066016384559,0.7354695608318316,0.7459588711005951,False,0.8128402614167147,0.8268826059256797,0.7127389337896355,0.014042344508964957
Correction / Challenge,3062,2079,False,0.019880796864794246,0.016997488322636877,0.02263918576458214,False,0.8757348138471587,0.8683493970763482,0.882814437257377,False,0.865365774003919,0.8578803783343465,0.872645908173069,False,0.895615610711953,0.8894120129422196,0.9019316818729698,False,0.03024983670803396,0.026719747611481607,0.03377517301061256,False,0.32527759634225994,0.30321224044324463,0.3476712169956236,False,3062,0.792578380143697,0.7835428485873059,0.8024940631680303,False,0.8111578518078266,0.8255371194817053,0.7093938790179015,0.014379267673878619
Stonewalling / Non-Response,2675,2234,False,0.024766355140186914,0.02137162633166125,0.02835349657307842,False,0.6428193146417446,0.6291726163877153,0.655196747040193,False,0.6369470404984423,0.623899875360648,0.6506515084123742,False,0.6675856697819315,0.6555716861682558,0.6804817433634829,False,0.03063862928348909,0.026442301773297313,0.03515570525934449,False,0.24074766355140187,0.21879184122654685,0.26297849578284194,False,2675,0.5488629283489097,0.5366890779929335,0.5609410582666454,False,0.7317781894117872,0.7555474483966828,0.7209508079903149,0.02376925898489549
Self-Correction,353,333,False,0.012393767705382433,0.006827760512584406,0.019027596670852243,False,0.8472615675165249,0.8243619691067903,0.8707823346729995,False,0.8372285174693107,0.812317051927318,0.8611528827027255,False,0.8596553352219075,0.8379282158129664,0.8822441832858499,False,0.02242681775259679,0.01285689484126984,0.034218715478332225,False,0.23229461756373937,0.18232323232323233,0.28611898016997167,False,353,0.7463408876298394,0.713540914017341,0.7791254108848343,False,0.7943891972387817,0.8122326464896161,0.7216319066944609,0.017843449250834503
