episode_id,category,turn_b_idx,representation,umap_x,umap_y
2020_06_28_Sermon,religion,3,Claim Only,-0.6958277821540833,11.56295108795166
2020_06_28_Sermon,religion,3,Assumption Context,-0.730090856552124,11.544589042663574
2020_06_28_Sermon,religion,31,Claim Only,-1.2055530548095703,13.850174903869629
2020_06_28_Sermon,religion,31,Assumption Context,-1.23045814037323,13.949448585510254
2020_06_28_Sermon,religion,57,Claim Only,1.1204073429107666,9.594046592712402
2020_06_28_Sermon,religion,57,Assumption Context,1.1553839445114136,9.576101303100586
2020_06_28_Sermon,religion,81,Claim Only,-1.264862060546875,13.310768127441406
2020_06_28_Sermon,religion,81,Assumption Context,-1.351517915725708,13.484845161437988
2020_06_28_Sermon,religion,103,Claim Only,0.6866667866706848,10.813536643981934
2020_06_28_Sermon,religion,103,Assumption Context,0.7262594699859619,10.75582504272461
2020_06_28_Sermon,religion,121,Claim Only,0.6704834699630737,10.479957580566406
2020_06_28_Sermon,religion,121,Assumption Context,0.6612715125083923,10.550806999206543
2020_06_28_Sermon,religion,143,Claim Only,0.42048051953315735,10.551919937133789
2020_06_28_Sermon,religion,143,Assumption Context,0.47125229239463806,10.418429374694824
2020_06_28_Sermon,religion,179,Claim Only,0.6435519456863403,10.819868087768555
2020_06_28_Sermon,religion,179,Assumption Context,0.7444812655448914,10.894392013549805
2020_06_28_Sermon,religion,209,Claim Only,0.3221159279346466,9.553010940551758
2020_06_28_Sermon,religion,209,Assumption Context,0.2912902534008026,9.532726287841797
2020_06_28_Sermon,religion,237,Claim Only,-0.015726173296570778,10.576366424560547
2020_06_28_Sermon,religion,237,Assumption Context,-0.249803364276886,10.712196350097656
2020_06_28_Sermon,religion,263,Claim Only,-1.7367148399353027,13.845948219299316
2020_06_28_Sermon,religion,263,Assumption Context,-1.9365755319595337,14.105636596679688
2020_06_28_Sermon,religion,284,Claim Only,-0.5168946981430054,13.138177871704102
2020_06_28_Sermon,religion,284,Assumption Context,-0.9560311436653137,13.53295612335205
2020_06_28_Sermon,religion,309,Claim Only,-1.833122968673706,13.830819129943848
2020_06_28_Sermon,religion,309,Assumption Context,-1.8850916624069214,13.989442825317383
2020_06_28_Sermon,religion,343,Claim Only,-2.538365125656128,9.294588088989258
2020_06_28_Sermon,religion,343,Assumption Context,-2.204282522201538,9.684965133666992
2020_06_28_Sermon,religion,367,Claim Only,-2.1405768394470215,10.406340599060059
2020_06_28_Sermon,religion,367,Assumption Context,-2.0208754539489746,10.195863723754883
2020_06_28_Sermon,religion,399,Claim Only,-1.7018425464630127,14.080329895019531
2020_06_28_Sermon,religion,399,Assumption Context,-1.995348572731018,14.107513427734375
2020_06_28_Sermon,religion,417,Claim Only,-1.5614488124847412,13.993021011352539
