category,pair_count,mean_sim_claim,mean_sim_context,mean_sim_same_episode_sample,mean_sim_global_sample,mean_bridge_delta,positive_bridge_rate,assumption_pair_rate
religion,65032,0.8011119316313368,0.7941363471714732,0.8305296649399543,0.8260016958390212,-0.0069755844598635205,0.3558094476565383,0.9990466232008857
political,59724,0.7940761625620048,0.7863332187283718,0.8263532486745785,0.8214406756554818,-0.007742943833632922,0.3231364275668073,0.9995981514968857
business,173617,0.7994235650475581,0.7914351471800058,0.8301730696010963,0.8260174221114289,-0.007988417867552194,0.3209478334494894,0.9994528185603945
sports,14484,0.7936441823696109,0.785481660475852,0.8223204032055781,0.8150945965862182,-0.008162521893758844,0.32104391052195524,0.9993095829881248
news,2732,0.7892394047748641,0.7802196277924548,0.8204336047259815,0.8134422474383959,-0.009019776982409347,0.32430453879941434,0.9996339677891655
commentary,36283,0.7895564041842641,0.7804160078914735,0.8190723411800271,0.8147594228756913,-0.009140396292790558,0.3167047928782074,0.9987046275115068
