class,reference_class,posterior_mean_intercept,posterior_mean_coef_scaled_load,posterior_sd_intercept,posterior_sd_coef_scaled_load,map_intercept,map_coef_scaled_load,scaler_mean,scaler_std
Backchannel,Substantive,-2.3968479982044215,-0.9414266218005113,0.010210718432100845,0.009510559304769814,-2.396635146110383,-0.9416979710610669,36.03685957908767,104.49164129892473
Clarification,Substantive,-1.1826662908297412,0.3320077965336871,0.03462902001624974,0.005841788737163745,-1.1822417859276848,0.3322277322514707,36.03685957908767,104.49164129892473
Silence/Abandonment,Substantive,-1.4340880490079062,0.5366572918038006,0.005236463298903584,0.009033136557599696,-1.4340991748379939,0.5363323235760539,36.03685957908767,104.49164129892473
Substantive,Substantive,0.0,0.0,0.0,0.0,0.0,0.0,36.03685957908767,104.49164129892473
