term,posterior_mean,posterior_sd
Intercept,0.3004534968204928,0.004433975330334965
implicature_load,0.0003827231191723108,3.185267419622342e-05
log1p(average_response_time_0_to_n_minus_1),0.6185344466817243,0.0022567537521274517
