episode,speaker_id,n_rows,n_testable,n_missing,min_p,min_q_global,min_q_episode,mean_p,median_p,n_sig_raw,n_sig_fdr_global,n_sig_fdr_episode,sig_raw_rate,sig_fdr_global_rate,sig_fdr_episode_rate
95962,SPEAKER_01,31,28,3,3.839691832027797e-06,0.0083307842806175,0.00021502274259355662,0.5623709210283977,0.6678080369261237,5,3,4,0.17857142857142858,0.10714285714285714,0.14285714285714285
95423,SPEAKER_01,31,7,24,3.990794864966467e-06,0.0083307842806175,5.587112810953054e-05,0.3041253907022828,0.02485662407206502,4,2,3,0.5714285714285714,0.2857142857142857,0.42857142857142855
50989,SPEAKER_00,31,10,21,1.2145699010183606e-05,0.012677073341879138,0.00024291398020367212,0.32543920416602057,0.020288625780670585,6,1,3,0.6,0.1,0.3
94313,SPEAKER_00,31,11,20,5.079118305272474e-05,0.03165902170001343,0.0011174060271599443,0.39468782869773344,0.3160231916933146,2,1,1,0.18181818181818182,0.09090909090909091,0.09090909090909091
84507,SPEAKER_00,31,2,29,5.2692942355528805e-05,0.03165902170001343,0.00021077176942211522,0.485817488352014,0.485817488352014,1,1,1,0.5,0.5,0.5
50999,SPEAKER_00,31,28,3,0.00044734306553106197,0.11439141083182951,0.02068807409481428,0.3542598396037636,0.25659129223608756,8,0,3,0.2857142857142857,0.0,0.10714285714285714
71629,SPEAKER_03,31,26,5,0.015030674684581136,0.5675352998454908,0.27034852866609016,0.4442857000036144,0.4642799501311407,5,0,0,0.19230769230769232,0.0,0.0
45324,SPEAKER_01,31,16,15,0.006090498224625755,0.40361635060019885,0.16569625992524287,0.37123962630714974,0.24095606598253458,4,0,0,0.25,0.0,0.0
50990,SPEAKER_00,31,28,3,0.004006623680363839,0.3216856512599813,0.22437092610037498,0.41537616152809814,0.4315339044330667,4,0,0,0.14285714285714285,0.0,0.0
80786,SPEAKER_00,31,30,1,0.008139957454635895,0.44716213648822184,0.4883974472781537,0.37391558905315014,0.27177823917449906,4,0,0,0.13333333333333333,0.0,0.0
49228,SPEAKER_00,31,16,15,0.0002961544957808919,0.10485204358577072,0.00947694386498854,0.43993094172381714,0.41410256778983756,3,0,1,0.1875,0.0,0.0625
50990,SPEAKER_01,31,28,3,0.01577889605290553,0.5675352998454908,0.31423761054224364,0.4283246837114642,0.3898168442686066,3,0,0,0.10714285714285714,0.0,0.0
70851,SPEAKER_00,31,16,15,0.00697745027979623,0.42771478489020104,0.22327840895347936,0.4671462706814659,0.5070768958505137,3,0,0,0.1875,0.0,0.0
70874,SPEAKER_00,31,17,14,0.0005757815395132179,0.11439141083182951,0.014548761101838113,0.6143733313859349,0.7786131987187318,3,0,2,0.17647058823529413,0.0,0.11764705882352941
70883,SPEAKER_02,31,16,15,0.007873684910476044,0.43830179334983316,0.2519579171352334,0.3782103477400327,0.27107883368317554,3,0,0,0.1875,0.0,0.0
74706,SPEAKER_01,31,6,25,0.01831163478911419,0.592643994143812,0.09639944027831383,0.06561867981321444,0.048565879730620425,3,0,0,0.5,0.0,0.0
80564,SPEAKER_00,31,28,3,0.000619451511607907,0.11439141083182951,0.03468928465004279,0.43225581983554556,0.4410233544035424,3,0,1,0.10714285714285714,0.0,0.03571428571428571
84069,SPEAKER_00,31,8,23,0.0035691030872768057,0.29257279768116423,0.05710564939642889,0.16603925678080522,0.09745526423599335,3,0,0,0.375,0.0,0.0
84126,SPEAKER_00,31,28,3,0.0003538331662186018,0.10485204358577072,0.0198146573082417,0.48227688683209696,0.3959946381765702,3,0,1,0.10714285714285714,0.0,0.03571428571428571
84779,SPEAKER_00,31,6,25,0.0008280568554602472,0.11525821176503628,0.009936682265522967,0.35902721656714126,0.30553627288071933,3,0,1,0.5,0.0,0.16666666666666666
85779,SPEAKER_00,31,16,15,0.028725827802061805,0.6768057511993811,0.22749861442428843,0.3859967417372948,0.32148189133871274,3,0,0,0.1875,0.0,0.0
