episode,speaker_id,offset,granger_p_value,q_global,q_episode,sig_raw,sig_fdr_global,sig_fdr_episode
42626,SPEAKER_01,-1,0.3386447739030193,0.9996748584641865,0.414813121603454,0,0,0
42626,SPEAKER_00,0,,,,0,0,0
42626,SPEAKER_01,0,,,,0,0,0
42626,SPEAKER_00,1,0.414813121603454,0.9996748584641865,0.414813121603454,0,0,0
42626,SPEAKER_01,1,0.01589579301224033,0.5675352998454908,0.06358317204896131,1,0,0
42626,SPEAKER_00,2,,,,0,0,0
42626,SPEAKER_01,2,,,,0,0,0
42626,SPEAKER_00,3,,,,0,0,0
42626,SPEAKER_01,3,,,,0,0,0
42626,SPEAKER_00,4,,,,0,0,0
42626,SPEAKER_01,4,,,,0,0,0
42626,SPEAKER_00,5,,,,0,0,0
42626,SPEAKER_01,5,,,,0,0,0
42626,SPEAKER_00,6,,,,0,0,0
42626,SPEAKER_01,6,,,,0,0,0
42626,SPEAKER_00,7,,,,0,0,0
42626,SPEAKER_01,7,,,,0,0,0
42626,SPEAKER_00,8,,,,0,0,0
42626,SPEAKER_01,8,,,,0,0,0
42626,SPEAKER_00,9,,,,0,0,0
42626,SPEAKER_01,9,,,,0,0,0
42626,SPEAKER_00,10,,,,0,0,0
42626,SPEAKER_01,10,,,,0,0,0
42626,SPEAKER_00,11,,,,0,0,0
42626,SPEAKER_01,11,,,,0,0,0
42626,SPEAKER_00,12,,,,0,0,0
42626,SPEAKER_01,12,,,,0,0,0
42626,SPEAKER_00,13,,,,0,0,0
42626,SPEAKER_01,13,,,,0,0,0
42626,SPEAKER_00,14,,,,0,0,0
42626,SPEAKER_01,14,,,,0,0,0
42626,SPEAKER_00,15,,,,0,0,0
42626,SPEAKER_01,15,,,,0,0,0
43153,SPEAKER_00,-15,,,,0,0,0
43153,SPEAKER_01,-15,,,,0,0,0
43153,SPEAKER_00,-14,,,,0,0,0
43153,SPEAKER_01,-14,,,,0,0,0
43153,SPEAKER_00,-13,,,,0,0,0
43153,SPEAKER_01,-13,,,,0,0,0
43153,SPEAKER_00,-12,,,,0,0,0
43153,SPEAKER_01,-12,,,,0,0,0
43153,SPEAKER_00,-11,,,,0,0,0
43153,SPEAKER_01,-11,,,,0,0,0
43153,SPEAKER_00,-10,,,,0,0,0
43153,SPEAKER_01,-10,,,,0,0,0
43153,SPEAKER_00,-9,,,,0,0,0
43153,SPEAKER_01,-9,,,,0,0,0
43153,SPEAKER_00,-8,,,,0,0,0
43153,SPEAKER_01,-8,,,,0,0,0
43153,SPEAKER_00,-7,,,,0,0,0
43153,SPEAKER_01,-7,,,,0,0,0
43153,SPEAKER_00,-6,,,,0,0,0
43153,SPEAKER_01,-6,,,,0,0,0
43153,SPEAKER_00,-5,,,,0,0,0
43153,SPEAKER_01,-5,,,,0,0,0
43153,SPEAKER_00,-4,,,,0,0,0
43153,SPEAKER_01,-4,,,,0,0,0
43153,SPEAKER_00,-3,,,,0,0,0
43153,SPEAKER_01,-3,,,,0,0,0
43153,SPEAKER_00,-2,,,,0,0,0
43153,SPEAKER_01,-2,,,,0,0,0
43153,SPEAKER_00,-1,,,,0,0,0
43153,SPEAKER_01,-1,,,,0,0,0
43153,SPEAKER_00,0,,,,0,0,0
43153,SPEAKER_01,0,,,,0,0,0
43153,SPEAKER_00,1,,,,0,0,0
43153,SPEAKER_01,1,,,,0,0,0
43153,SPEAKER_00,2,,,,0,0,0
43153,SPEAKER_01,2,,,,0,0,0
43153,SPEAKER_00,3,,,,0,0,0
43153,SPEAKER_01,3,,,,0,0,0
43153,SPEAKER_00,4,,,,0,0,0
43153,SPEAKER_01,4,,,,0,0,0
43153,SPEAKER_00,5,,,,0,0,0
43153,SPEAKER_01,5,,,,0,0,0
43153,SPEAKER_00,6,,,,0,0,0
43153,SPEAKER_01,6,,,,0,0,0
43153,SPEAKER_00,7,,,,0,0,0
43153,SPEAKER_01,7,,,,0,0,0
43153,SPEAKER_00,8,,,,0,0,0
43153,SPEAKER_01,8,,,,0,0,0
43153,SPEAKER_00,9,,,,0,0,0
43153,SPEAKER_01,9,,,,0,0,0
43153,SPEAKER_00,10,,,,0,0,0
43153,SPEAKER_01,10,,,,0,0,0
43153,SPEAKER_00,11,,,,0,0,0
43153,SPEAKER_01,11,,,,0,0,0
43153,SPEAKER_00,12,,,,0,0,0
43153,SPEAKER_01,12,,,,0,0,0
43153,SPEAKER_00,13,,,,0,0,0
43153,SPEAKER_01,13,,,,0,0,0
43153,SPEAKER_00,14,,,,0,0,0
43153,SPEAKER_01,14,,,,0,0,0
43153,SPEAKER_00,15,,,,0,0,0
43153,SPEAKER_01,15,,,,0,0,0
43154,SPEAKER_00,-15,,,,0,0,0
43154,SPEAKER_01,-15,,,,0,0,0
43154,SPEAKER_00,-14,,,,0,0,0
43154,SPEAKER_01,-14,,,,0,0,0
43154,SPEAKER_00,-13,,,,0,0,0
43154,SPEAKER_01,-13,,,,0,0,0
43154,SPEAKER_00,-12,,,,0,0,0
43154,SPEAKER_01,-12,,,,0,0,0
43154,SPEAKER_00,-11,,,,0,0,0
43154,SPEAKER_01,-11,,,,0,0,0
43154,SPEAKER_00,-10,,,,0,0,0
43154,SPEAKER_01,-10,,,,0,0,0
43154,SPEAKER_00,-9,,,,0,0,0
43154,SPEAKER_01,-9,,,,0,0,0
43154,SPEAKER_00,-8,,,,0,0,0
43154,SPEAKER_01,-8,,,,0,0,0
43154,SPEAKER_00,-7,,,,0,0,0
43154,SPEAKER_01,-7,,,,0,0,0
43154,SPEAKER_00,-6,,,,0,0,0
43154,SPEAKER_01,-6,,,,0,0,0
43154,SPEAKER_00,-5,0.2166617776860305,0.9996748584641865,0.480091231139085,0,0,0
43154,SPEAKER_01,-5,0.30597168444631245,0.9996748584641865,0.480091231139085,0,0,0
43154,SPEAKER_00,-4,,,,0,0,0
43154,SPEAKER_01,-4,,,,0,0,0
43154,SPEAKER_00,-3,0.25146168260002105,0.9996748584641865,0.480091231139085,0,0,0
43154,SPEAKER_01,-3,0.013474854435659505,0.5461894880473634,0.08084912661395703,1,0,0
43154,SPEAKER_00,-2,,,,0,0,0
43154,SPEAKER_01,-2,,,,0,0,0
43154,SPEAKER_00,-1,0.3600684233543137,0.9996748584641865,0.480091231139085,0,0,0
43154,SPEAKER_01,-1,0.0078325901677947,0.43830179334983316,0.08084912661395703,1,0,0
43154,SPEAKER_00,0,,,,0,0,0
43154,SPEAKER_01,0,,,,0,0,0
43154,SPEAKER_00,1,0.331412024942984,0.9996748584641865,0.480091231139085,0,0,0
43154,SPEAKER_01,1,0.6302859290120975,0.9996748584641865,0.687584649831379,0,0,0
43154,SPEAKER_00,2,,,,0,0,0
43154,SPEAKER_01,2,,,,0,0,0
43154,SPEAKER_00,3,0.5707649003026493,0.9996748584641865,0.684917880363179,0,0,0
43154,SPEAKER_01,3,0.35350819010661005,0.9996748584641865,0.480091231139085,0,0,0
43154,SPEAKER_00,4,,,,0,0,0
43154,SPEAKER_01,4,,,,0,0,0
43154,SPEAKER_00,5,0.9736078120177529,0.9996748584641865,0.9736078120177529,0,0,0
43154,SPEAKER_01,5,0.10426370547496851,0.914497836886541,0.41705482189987403,0,0,0
43154,SPEAKER_00,6,,,,0,0,0
43154,SPEAKER_01,6,,,,0,0,0
43154,SPEAKER_00,7,,,,0,0,0
43154,SPEAKER_01,7,,,,0,0,0
43154,SPEAKER_00,8,,,,0,0,0
43154,SPEAKER_01,8,,,,0,0,0
43154,SPEAKER_00,9,,,,0,0,0
43154,SPEAKER_01,9,,,,0,0,0
43154,SPEAKER_00,10,,,,0,0,0
43154,SPEAKER_01,10,,,,0,0,0
43154,SPEAKER_00,11,,,,0,0,0
43154,SPEAKER_01,11,,,,0,0,0
43154,SPEAKER_00,12,,,,0,0,0
43154,SPEAKER_01,12,,,,0,0,0
43154,SPEAKER_00,13,,,,0,0,0
43154,SPEAKER_01,13,,,,0,0,0
43154,SPEAKER_00,14,,,,0,0,0
43154,SPEAKER_01,14,,,,0,0,0
43154,SPEAKER_00,15,,,,0,0,0
43154,SPEAKER_01,15,,,,0,0,0
43159,SPEAKER_00,-15,,,,0,0,0
43159,SPEAKER_01,-15,,,,0,0,0
43159,SPEAKER_00,-14,,,,0,0,0
43159,SPEAKER_01,-14,,,,0,0,0
43159,SPEAKER_00,-13,,,,0,0,0
43159,SPEAKER_01,-13,,,,0,0,0
43159,SPEAKER_00,-12,,,,0,0,0
43159,SPEAKER_01,-12,,,,0,0,0
43159,SPEAKER_00,-11,,,,0,0,0
43159,SPEAKER_01,-11,,,,0,0,0
43159,SPEAKER_00,-10,,,,0,0,0
43159,SPEAKER_01,-10,,,,0,0,0
43159,SPEAKER_00,-9,,,,0,0,0
43159,SPEAKER_01,-9,,,,0,0,0
43159,SPEAKER_00,-8,,,,0,0,0
43159,SPEAKER_01,-8,,,,0,0,0
43159,SPEAKER_00,-7,,,,0,0,0
43159,SPEAKER_01,-7,,,,0,0,0
43159,SPEAKER_00,-6,,,,0,0,0
43159,SPEAKER_01,-6,,,,0,0,0
43159,SPEAKER_00,-5,,,,0,0,0
43159,SPEAKER_01,-5,,,,0,0,0
43159,SPEAKER_00,-4,,,,0,0,0
43159,SPEAKER_01,-4,,,,0,0,0
43159,SPEAKER_00,-3,,,,0,0,0
43159,SPEAKER_01,-3,,,,0,0,0
43159,SPEAKER_00,-2,,,,0,0,0
43159,SPEAKER_01,-2,,,,0,0,0
43159,SPEAKER_00,-1,,,,0,0,0
43159,SPEAKER_01,-1,,,,0,0,0
43159,SPEAKER_00,0,,,,0,0,0
43159,SPEAKER_01,0,,,,0,0,0
43159,SPEAKER_00,1,,,,0,0,0
43159,SPEAKER_01,1,,,,0,0,0
43159,SPEAKER_00,2,,,,0,0,0
43159,SPEAKER_01,2,,,,0,0,0
43159,SPEAKER_00,3,,,,0,0,0
43159,SPEAKER_01,3,,,,0,0,0
43159,SPEAKER_00,4,,,,0,0,0
43159,SPEAKER_01,4,,,,0,0,0
43159,SPEAKER_00,5,,,,0,0,0
43159,SPEAKER_01,5,,,,0,0,0
43159,SPEAKER_00,6,,,,0,0,0
43159,SPEAKER_01,6,,,,0,0,0
43159,SPEAKER_00,7,,,,0,0,0
43159,SPEAKER_01,7,,,,0,0,0
43159,SPEAKER_00,8,,,,0,0,0
43159,SPEAKER_01,8,,,,0,0,0
43159,SPEAKER_00,9,,,,0,0,0
43159,SPEAKER_01,9,,,,0,0,0
43159,SPEAKER_00,10,,,,0,0,0
43159,SPEAKER_01,10,,,,0,0,0
